課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,課程內容總合,課程技能,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,技能17,技能18,技能19
Meta Front-End Developer,4.7 out of 5 stars,23K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-front-end-developer,,"HTML and CSS, Persona (User Experience), Version Control, Javascript, Usability Testing, Unix Commands, React.js, Responsive Web Design, Cascading Style Sheets (CSS), Front-End Web Development, GitHub, Data Structures",Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Principles of UX/UI Design | Front-End Developer Capstone | Coding Interview Preparation,Taught by Meta Staff,Starts Jul 18,Flexible schedule,"7 months, 6 hours. a weekLearn at your own pace","nan
Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Principles of UX/UI Design | Front-End Developer Capstone | Coding Interview Preparation
HTML and CSS, Persona (User Experience), Version Control, Javascript, Usability Testing, Unix Commands, React.js, Responsive Web Design, Cascading Style Sheets (CSS), Front-End Web Development, GitHub, Data Structures
Meta Front-End Developer","['HTML and CSS', 'Persona (User Experience)', 'Version Control', 'Javascript', 'Usability Testing', 'Unix Commands', 'React.js', 'Responsive Web Design', 'Cascading Style Sheets (CSS)', 'Front-End Web Development', 'GitHub', 'Data Structures']",HTML and CSS,Persona (User Experience),Version Control,Javascript,Usability Testing,Unix Commands,React.js,Responsive Web Design,Cascading Style Sheets (CSS),Front-End Web Development,GitHub,Data Structures,,,,,,,
Introduction to Front-End Development,4.8 out of 5 stars,13K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-front-end-development,4 modules,"JavaScript Frameworks, React.js, Responsive Web Design, User Interface (UI), Web Design and Development, Web Applications, Bootstrap (Front-End Framework), HTML and CSS, Front-End Web Development, Web Development Tools, Javascript",Get started with web development | Introduction to HTML and CSS | UI Frameworks | End-of-Course Graded Assessment,Taught by Meta Staff,Starts Jul 18,Flexible schedule,Approx. 19 hours.Learn at your own pace,"4 modules
Get started with web development | Introduction to HTML and CSS | UI Frameworks | End-of-Course Graded Assessment
JavaScript Frameworks, React.js, Responsive Web Design, User Interface (UI), Web Design and Development, Web Applications, Bootstrap (Front-End Framework), HTML and CSS, Front-End Web Development, Web Development Tools, Javascript
Introduction to Front-End Development","['JavaScript Frameworks', 'React.js', 'Responsive Web Design', 'User Interface (UI)', 'Web Design and Development', 'Web Applications', 'Bootstrap (Front-End Framework)', 'HTML and CSS', 'Front-End Web Development', 'Web Development Tools', 'Javascript']",JavaScript Frameworks,React.js,Responsive Web Design,User Interface (UI),Web Design and Development,Web Applications,Bootstrap (Front-End Framework),HTML and CSS,Front-End Web Development,Web Development Tools,Javascript,,,,,,,,
"Full-Stack Web Development: PHP, HTML, CSS & JavaScript",,,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/full-stack-web-development-php-html-css-and-js,,"Object-Relational Mapping, HTML and CSS, Full-Stack Web Development, Node.JS, Javascript, Web Design and Development, React.js, Responsive Web Design, Model View Controller, User Interface (UI) Design, Web Development Tools, Server Side","Web Development Mastery: HTML, CSS & JavaScript Fundamentals | Backend Development: Node.js, Express, MongoDB & REST APIs | PHP Mastery: Build Web Apps",Board Infinity,Starts Jul 18,Flexible schedule,Learn at your own pace,"nan
Web Development Mastery: HTML, CSS & JavaScript Fundamentals | Backend Development: Node.js, Express, MongoDB & REST APIs | PHP Mastery: Build Web Apps
Object-Relational Mapping, HTML and CSS, Full-Stack Web Development, Node.JS, Javascript, Web Design and Development, React.js, Responsive Web Design, Model View Controller, User Interface (UI) Design, Web Development Tools, Server Side
Full-Stack Web Development: PHP, HTML, CSS & JavaScript","['Object-Relational Mapping', 'HTML and CSS', 'Full-Stack Web Development', 'Node.JS', 'Javascript', 'Web Design and Development', 'React.js', 'Responsive Web Design', 'Model View Controller', 'User Interface (UI) Design', 'Web Development Tools', 'Server Side']",Object-Relational Mapping,HTML and CSS,Full-Stack Web Development,Node.JS,Javascript,Web Design and Development,React.js,Responsive Web Design,Model View Controller,User Interface (UI) Design,Web Development Tools,Server Side,,,,,,,
Meta Full-Stack Developer,4.7 out of 5 stars,24K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/meta-full-stack-developer,,"Database Design, HTML and CSS, Database Management Systems, Version Control, Linux Commands, Unix Commands, React.js, Responsive Web Design, API Design, GitHub, SQL, Bootstrap (Front-End Framework)",Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Programming in Python | Introduction to Databases for Back-End Development | Django Web Framework | APIs,Taught by Meta Staff,Starts Jul 18,8 months,at 10 hours. a week,"nan
Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Programming in Python | Introduction to Databases for Back-End Development | Django Web Framework | APIs
Database Design, HTML and CSS, Database Management Systems, Version Control, Linux Commands, Unix Commands, React.js, Responsive Web Design, API Design, GitHub, SQL, Bootstrap (Front-End Framework)
Meta Full-Stack Developer","['Database Design', 'HTML and CSS', 'Database Management Systems', 'Version Control', 'Linux Commands', 'Unix Commands', 'React.js', 'Responsive Web Design', 'API Design', 'GitHub', 'SQL', 'Bootstrap (Front-End Framework)']",Database Design,HTML and CSS,Database Management Systems,Version Control,Linux Commands,Unix Commands,React.js,Responsive Web Design,API Design,GitHub,SQL,Bootstrap (Front-End Framework),,,,,,,
Introduction to Web Development,4.7 out of 5 stars,3.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/web-development,4 modules,"Image Analysis, GitHub, Web Servers, Cloud Hosting, Front-End Web Development, Git (Version Control System), Version Control, Web Content, HTML and CSS, Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), Semantic Web, Browser Compatibility, Web Design, Web Design and Development, Web Development","Introduction to HTML | Links, Images, & Files | Putting Your Site Online | Introduction to CSS","William Mead, University of California, Davis",Starts Jul 18,Flexible schedule,Approx. 10 hours.Learn at your own pace,"4 modules
Introduction to HTML | Links, Images, & Files | Putting Your Site Online | Introduction to CSS
Image Analysis, GitHub, Web Servers, Cloud Hosting, Front-End Web Development, Git (Version Control System), Version Control, Web Content, HTML and CSS, Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), Semantic Web, Browser Compatibility, Web Design, Web Design and Development, Web Development
Introduction to Web Development","['Image Analysis', 'GitHub', 'Web Servers', 'Cloud Hosting', 'Front-End Web Development', 'Git (Version Control System)', 'Version Control', 'Web Content', 'HTML and CSS', 'Cascading Style Sheets (CSS)', 'Hypertext Markup Language (HTML)', 'Semantic Web', 'Browser Compatibility', 'Web Design', 'Web Design and Development', 'Web Development']",Image Analysis,GitHub,Web Servers,Cloud Hosting,Front-End Web Development,Git (Version Control System),Version Control,Web Content,HTML and CSS,Cascading Style Sheets (CSS),Hypertext Markup Language (HTML),Semantic Web,Browser Compatibility,Web Design,Web Design and Development,Web Development,,,
Web Design for Everybody: Basics of Web Development & Coding,4.7 out of 5 stars,35K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/web-design,,"Interactive Design, Verification And Validation, HTML and CSS, Web Content Accessibility Guidelines, Usability, Browser Compatibility, Javascript, Web Design and Development, Event-Driven Programming, Responsive Web Design, Wireframing, Application Frameworks",Introduction to HTML5 | Introduction to CSS3 | Interactivity with JavaScript | Advanced Styling with Responsive Design | Web Design for Everybody Capstone,"Charles Russell Severance, Colleen van Lent, Ph.D., University of Michigan",Starts Jul 18,2 months,at 10 hours. a week,"nan
Introduction to HTML5 | Introduction to CSS3 | Interactivity with JavaScript | Advanced Styling with Responsive Design | Web Design for Everybody Capstone
Interactive Design, Verification And Validation, HTML and CSS, Web Content Accessibility Guidelines, Usability, Browser Compatibility, Javascript, Web Design and Development, Event-Driven Programming, Responsive Web Design, Wireframing, Application Frameworks
Web Design for Everybody: Basics of Web Development & Coding","['Interactive Design', 'Verification And Validation', 'HTML and CSS', 'Web Content Accessibility Guidelines', 'Usability', 'Browser Compatibility', 'Javascript', 'Web Design and Development', 'Event-Driven Programming', 'Responsive Web Design', 'Wireframing', 'Application Frameworks']",Interactive Design,Verification And Validation,HTML and CSS,Web Content Accessibility Guidelines,Usability,Browser Compatibility,Javascript,Web Design and Development,Event-Driven Programming,Responsive Web Design,Wireframing,Application Frameworks,,,,,,,
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"Computer Programming, Application Programming Interface (API), JSON, Pandas (Python Package), Data Processing, Python Programming, Programming Principles, Data Manipulation, Automation, Web Scraping, Scripting, NumPy, Data Import/Export, Jupyter, Data Structures, Restful API, Data Analysis, Object Oriented Programming (OOP)",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo,Starts Jul 18,Flexible schedule,Approx. 25 hours.Learn at your own pace,"5 modules
Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection
Computer Programming, Application Programming Interface (API), JSON, Pandas (Python Package), Data Processing, Python Programming, Programming Principles, Data Manipulation, Automation, Web Scraping, Scripting, NumPy, Data Import/Export, Jupyter, Data Structures, Restful API, Data Analysis, Object Oriented Programming (OOP)
Python for Data Science, AI & Development","['Computer Programming', 'Application Programming Interface (API)', 'JSON', 'Pandas (Python Package)', 'Data Processing', 'Python Programming', 'Programming Principles', 'Data Manipulation', 'Automation', 'Web Scraping', 'Scripting', 'NumPy', 'Data Import/Export', 'Jupyter', 'Data Structures', 'Restful API', 'Data Analysis', 'Object Oriented Programming (OOP)']",Computer Programming,Application Programming Interface (API),JSON,Pandas (Python Package),Data Processing,Python Programming,Programming Principles,Data Manipulation,Automation,Web Scraping,Scripting,NumPy,Data Import/Export,Jupyter,Data Structures,Restful API,Data Analysis,Object Oriented Programming (OOP),
Fundamentals of Web Development,4.6 out of 5 stars,16 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/illinois-tech-fundamentals-of-web-development,9 modules,"Application Programming Interface (API), HTML and CSS, Browser Compatibility, GitHub, Cascading Style Sheets (CSS), Web Design, Web Development Tools, Animations, Infrastructure Architecture, Javascript and jQuery, Web Development, Version Control, Web Applications, Responsive Web Design, JavaScript Frameworks",Module 1: Internet Structures and an Introduction to HTML | Module 2: HTML | Module 3: HTML Forms | Module 4: Introduction to CSS | Module 5: CSS Floats and Positions | Module 6: Website Layouts and Design | Module 7: Introduction to Javascript | Module 8: JQuery and Frameworks | Summative Course Assessment,"Daniel Krieglstein, Illinois Tech",Starts Jul 18,Flexible schedule,Approx. 134 hours.Learn at your own pace,"9 modules
Module 1: Internet Structures and an Introduction to HTML | Module 2: HTML | Module 3: HTML Forms | Module 4: Introduction to CSS | Module 5: CSS Floats and Positions | Module 6: Website Layouts and Design | Module 7: Introduction to Javascript | Module 8: JQuery and Frameworks | Summative Course Assessment
Application Programming Interface (API), HTML and CSS, Browser Compatibility, GitHub, Cascading Style Sheets (CSS), Web Design, Web Development Tools, Animations, Infrastructure Architecture, Javascript and jQuery, Web Development, Version Control, Web Applications, Responsive Web Design, JavaScript Frameworks
Fundamentals of Web Development","['Application Programming Interface (API)', 'HTML and CSS', 'Browser Compatibility', 'GitHub', 'Cascading Style Sheets (CSS)', 'Web Design', 'Web Development Tools', 'Animations', 'Infrastructure Architecture', 'Javascript and jQuery', 'Web Development', 'Version Control', 'Web Applications', 'Responsive Web Design', 'JavaScript Frameworks']",Application Programming Interface (API),HTML and CSS,Browser Compatibility,GitHub,Cascading Style Sheets (CSS),Web Design,Web Development Tools,Animations,Infrastructure Architecture,Javascript and jQuery,Web Development,Version Control,Web Applications,Responsive Web Design,JavaScript Frameworks,,,,
"Introduction to HTML, CSS, & JavaScript",4.5 out of 5 stars,538 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-html-css-javascript,4 modules,"Browser Compatibility, Javascript, Responsive Web Design, Web Development, Application Programming Interface (API), Bootstrap (Front-End Framework), Scripting, Cascading Style Sheets (CSS)",HTML Overview | CSS Overview & HTML5 Elements | JavaScript Programming for Web Applications | Final Project,"Michelle Saltoun, Upkar Lidder",Starts Jul 18,,,"4 modules
HTML Overview | CSS Overview & HTML5 Elements | JavaScript Programming for Web Applications | Final Project
Browser Compatibility, Javascript, Responsive Web Design, Web Development, Application Programming Interface (API), Bootstrap (Front-End Framework), Scripting, Cascading Style Sheets (CSS)
Introduction to HTML, CSS, & JavaScript","['Browser Compatibility', 'Javascript', 'Responsive Web Design', 'Web Development', 'Application Programming Interface (API)', 'Bootstrap (Front-End Framework)', 'Scripting', 'Cascading Style Sheets (CSS)']",Browser Compatibility,Javascript,Responsive Web Design,Web Development,Application Programming Interface (API),Bootstrap (Front-End Framework),Scripting,Cascading Style Sheets (CSS),,,,,,,,,,,
Full Stack Web Development,4.6 out of 5 stars,17 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fullstack-web-development,4 modules,"Server Side, Back-End Web Development, Javascript, Web Development, Full-Stack Web Development, Responsive Web Design, Model View Controller, Front-End Web Development, Spring Framework, Restful API, Web Applications, Application Deployment, HTML and CSS, Amazon Web Services, Spring Boot, Application Programming Interface (API), Web Services",Frontend development | Java web development | Web APIs | Final project and course wrap up,,Starts Jul 18,33 hours to complete,,"4 modules
Frontend development | Java web development | Web APIs | Final project and course wrap up
Server Side, Back-End Web Development, Javascript, Web Development, Full-Stack Web Development, Responsive Web Design, Model View Controller, Front-End Web Development, Spring Framework, Restful API, Web Applications, Application Deployment, HTML and CSS, Amazon Web Services, Spring Boot, Application Programming Interface (API), Web Services
Full Stack Web Development","['Server Side', 'Back-End Web Development', 'Javascript', 'Web Development', 'Full-Stack Web Development', 'Responsive Web Design', 'Model View Controller', 'Front-End Web Development', 'Spring Framework', 'Restful API', 'Web Applications', 'Application Deployment', 'HTML and CSS', 'Amazon Web Services', 'Spring Boot', 'Application Programming Interface (API)', 'Web Services']",Server Side,Back-End Web Development,Javascript,Web Development,Full-Stack Web Development,Responsive Web Design,Model View Controller,Front-End Web Development,Spring Framework,Restful API,Web Applications,Application Deployment,HTML and CSS,Amazon Web Services,Spring Boot,Application Programming Interface (API),Web Services,,
