課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Introduction to Artificial Intelligence (AI),4.7 out of 5 stars,20K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-ai,4 modules,"Data Governance, Business Ethics, ChatGPT, Computer Science, Natural Language Processing, Business Intelligence, Robotic Process Automation, Generative AI, Content Creation, Risk Mitigation","Introduction and Applications of AI | AI Concepts, Terminology, and Application Domains | Business and Career Transformation Through AI | Issues, Concerns, and Ethical Considerations",Rav Ahuja,Starts Jul 17,Flexible schedule,Approx. 12 hours.Learn at your own pace
AI For Everyone,4.8 out of 5 stars,48K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-for-everyone,4 modules,"Data Ethics, Strategic Thinking, Team Building, Market Opportunities, Data Science, Business Ethics, Artificial Neural Networks, Needs Assessment, Engineering Management, Deep Learning, Artificial Intelligence, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML)",What is AI? | Building AI Projects | Building AI In Your Company | AI and Society,Andrew Ng,Starts Jul 17,Flexible schedule,Approx. 6 hours.Learn at your own pace
Introduction to AI,4.9 out of 5 stars,1.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/google-introduction-to-ai,1 module,"Innovation, Data Quality, Machine Learning Software, Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Machine Learning, Critical Thinking",Introduction to AI,,Starts Jul 17,Flexible schedule,Approx. 1 hourLearn at your own pace
Machine Learning,4.9 out of 5 stars,35K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,,"Artificial Intelligence, Predictive Modeling, Random Forest Algorithm, Tensorflow, Machine Learning, Applied Machine Learning, Reinforcement Learning, Feature Engineering, Unsupervised Learning, Jupyter, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning","Supervised Machine Learning: Regression and Classification | Advanced Learning Algorithms | Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng, Geoff Ladwig, Aarti Bagul, Eddy Shyu, Stanford University",Starts Jul 17,2 months,at 10 hours. a week
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Large Language Modeling, IBM Cloud, Prompt Engineering, ChatGPT","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja",Starts Jul 17,,
Fundamentals of Machine Learning and Artificial Intelligence,4.5 out of 5 stars,743 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,1 module,"Digital Transformation, Applied Machine Learning, Generative AI, Artificial Intelligence, Amazon Web Services, AWS SageMaker, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning",Fundamentals of Machine Learning and Artificial Intelligence,"AWS Instructor, Amazon Web Services",Starts Jul 17,Flexible schedule,Learn at your own pace
AI For Business,4.7 out of 5 stars,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-for-business-wharton,,"Artificial Intelligence, AI Personalization, Machine Learning, Governance, Generative AI, Organizational Strategy, Customer Data Management, Data Governance, Data Security, Business Strategy, Human Resources, Big Data",AI Fundamentals for Non-Data Scientists | AI Applications in Marketing and Finance | AI Applications in People Management | AI Strategy and Governance,"Michael R Roberts, Kartik Hosanagar, Peter Cappelli, Kevin Werbach, Raghu Iyengar, Matthew Bidwell, Prasanna Tambe, Lynn Wu, University of Pennsylvania",Starts Jul 17,,
Artificial Intelligence,4.6 out of 5 stars,28 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/illinois-tech-artificial-intelligence,9 modules,"Ethical Standards And Conduct, Technology Strategies, Business, Machine Learning, Deep Learning, Generative AI, Market Intelligence, Artificial Intelligence and Machine Learning (AI/ML), OpenAI, Human Machine Interfaces, Applied Machine Learning, Business Ethics, Market Data, Emerging Technologies, Artificial Intelligence, Supervised Learning","Module 1: AI Overview/Landscape | Module 2: Defining and Clarifying AI and Machine-Learning Concepts | Module 3: AI and Technology Convergence | Module 4: AI Abilities Versus Human Abilities, Human/Machine Collaboration | Module 5: AIâs Impact on Work, Jobs, Humans, Productivity | Module 6: AIâs Impact Assessment from Other Dimensions - Multiple Perspectives | Module 7: Generative AI and Explainable AI | Module 8: AI Ethics and Responsible AI | Summative Course Assessment","Siva Balasubramanian, Illinois Tech",Starts Jul 17,Flexible schedule,Approx. 58 hours.Learn at your own pace
Human-Centered Artificial Intelligence,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/hcc-6600-human-centered-ai,6 modules,"Human Centered Design, Machine Learning, Human Factors, Environmental Monitoring, Generative AI, Data Ethics, Ethical Standards And Conduct, Machine Learning Methods, Human Computer Interaction, Qualitative Research, Artificial Intelligence, Research Methodologies",Module 1: Human-Centered Computing - Designing for People | Module 2: Artificial Intelligence | Module 3: Introduction to Human-Centered AI & Research Methods in HCAI | Module 4: Collective Intelligence and Hybrid Intelligence | Module 5: Algorithmic Bias & AI Fairness | Module 6: AI Alignment & Ethics,"Carlos Toxtli Hernandez, Clemson University",Starts Jul 17,Flexible schedule,Learn at your own pace
Introduction to Artificial Intelligence,4.6 out of 5 stars,19 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/intro-to-artificial-intelligence,4 modules,"Generative AI, Computer Vision, Artificial Intelligence, Applied Machine Learning, Ethical Standards And Conduct, Machine Learning, Governance, Deep Learning, Data Ethics, Artificial Intelligence and Machine Learning (AI/ML), Law, Regulation, and Compliance, Business Analytics, Unsupervised Learning, Emerging Technologies, Machine Learning Algorithms, Artificial Neural Networks, Regression Analysis",Module 1: History and Overview of Artificial Intelligence | Module 2: Machine Learning Basics | Module 3: Deep Learning and Generative AI | Module 4: The Future of AI and Artificial General Intelligence (AGI),"Robert J. Brunner, University of Illinois Urbana-Champaign",Starts Jul 17,Flexible schedule,Approx. 21 hours.Learn at your own pace
