課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Business and Financial Modeling,4.5 out of 5 stars,11K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/wharton-business-financial-modeling,,"Probability Distribution, Predictive Modeling, Presentations, Investment Management, Financial Modeling, Data Visualization, Strategic Decision-Making, Microsoft Excel, Financial Statements, Risk Modeling, Spreadsheet Software, Microsoft PowerPoint",Fundamentals of Quantitative Modeling | Introduction to Spreadsheets and Models | Modeling Risk and Realities | Decision-Making and Scenarios | Wharton Business and Financial Modeling Capstone,"Sergei Savin, Senthil Veeraraghavan, Richard Waterman, Richard Lambert, Robert W. Holthausen, Don Huesman, University of Pennsylvania",Starts Jul 17,1 month,at 10 hours. a week
Finance & Quantitative Modeling for Analysts,4.5 out of 5 stars,17K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,,"Capital Budgeting, Return On Investment, Predictive Analytics, Financial Modeling, Cash Flows, Financial Analysis, Microsoft Excel, Financial Statements, Risk Analysis, Spreadsheet Software, Financial Planning, Corporate Finance",Fundamentals of Quantitative Modeling | Introduction to Spreadsheets and Models | Financial Acumen for Non-Financial Managers | Introduction to Corporate Finance,"Michael R Roberts, Christopher D. Ittner, Richard Waterman, Richard Lambert, Don Huesman, University of Pennsylvania",Starts Jul 17,1 month,at 10 hours. a week
Financial Markets,4.8 out of 5 stars,31K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/financial-markets-global,7 modules,"Risk Management, Capital Markets, Securities (Finance), Enterprise Risk Management (ERM), Insurance, Financial Services, Behavioral Economics, Market Dynamics, Business Risk Management, Underwriting, Investments, Financial Market, Governance, Financial Regulation, Investment Banking, Financial Policy, Finance, Banking, Derivatives, Corporate Finance",Module 1 | Module 2 | Module 3 | Module 4 | Module 5 | Module 6 | MODULE 7,"Robert Shiller, Yale University",Starts Jul 17,Flexible schedule,Approx. 33 hours.Learn at your own pace
Discounted Cash Flow Modeling,4.3 out of 5 stars,760 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/discounted-cash-flow-modeling,,"Finance, Financial Analysis, Business Valuation, Accounting, Financial Modeling, Equities, Financial Forecasting, Investment Banking, Cash Flows, Capital Markets",,"Bekhruzbek Ochilov, MCSI, PAGRC, Coursera Project Network",,2 hours,Learn at your own pace
Fundamentals of Quantitative Modeling,4.6 out of 5 stars,9.2K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-quantitative-modeling,4 modules,"Regression Analysis, Forecasting, Risk Management, Probability Distribution, Statistics, Business Modeling, Statistical Modeling, Business Mathematics, Simulation and Simulation Software, Financial Modeling, Process Optimization, Markov Model, Mathematical Modeling, Probability, Predictive Analytics",Module 1: Introduction to Models | Module 2: Linear Models and Optimization | Module 3: Probabilistic Models | Module 4: Regression Models,"Richard Waterman, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Real Estate Financial Modeling,4.4 out of 5 stars,51 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/real-estate-financial-modeling,1 module,"Financial Modeling, Risk Analysis, Investments, Return On Investment, Financial Forecasting, Financial Analysis, Property and Real Estate, Forecasting, Real Estate, Investment Management, Cash Flow Forecasting, Risk Management, Commercial Real Estate",Real Estate Financial Modeling,"Manish Gupta, Coursera Instructor Network",Starts Jul 17,1 hour to complete,
Fundamentals of Financial Analysis,4.2 out of 5 stars,50 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-financial-analysis,3 modules,"Asset Management, Investments, Financial Statement Analysis, Return On Investment, Accounting, Financial Reporting, Balance Sheet, Financial Statements, Income Statement, Financial Analysis, Cash Flows",Section 1: Getting familiar with the fundamentals | Section 2: Deeper dive into the financial statements | Section 3: Looking at value of money,"Tansy Rothwell, London Business School",Starts Jul 17,4 hours to complete,
Financial Engineering and Risk Management,4.6 out of 5 stars,380 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financialengineering,,"Financial Market, Investment Management, Applied Mathematics, Financial Modeling, Statistical Methods, Financial Systems, Risk Modeling, Mortgage Loans, Derivatives, Financial Services, Asset Management, Capital Markets",Introduction to Financial Engineering and Risk Management | Term-Structure and Credit Derivatives | Optimization Methods in Asset Management | Advanced Topics in Derivative Pricing | Computational Methods in Pricing and Model Calibration,"Martin Haugh, Garud Iyengar, Ali Hirsa, Columbia University",Starts Jul 17,2 months,at 10 hours. a week
Investment Risk Management,4.4 out of 5 stars,2K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/investment-risk-management,,"Risk Analysis, Investments, Portfolio Management, Statistics, Financial Market, Financial Analysis, Financial Management, Investment Management, Risk Management, Return On Investment",,"Bekhruzbek Ochilov, MCSI, PAGRC, Coursera Project Network",,1 hour,Learn at your own pace
Financial Forecasting and Reporting,4.8 out of 5 stars,67 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/financial-forecasting-and-reporting,5 modules,"Financial Statement Analysis, Cash Flows, Income Statement, Financial Forecasting, Financial Market, Balance Sheet, Budgeting, Risk Management, Cost Benefit Analysis, Return On Investment, Sustainability Reporting, Environmental Social And Corporate Governance (ESG), Cost Estimation, Financial Analysis, Financial Reporting",Understanding Financial Statements | Analyzing Financial Statements: Ratio Analysis | Budgeting and Forecasting | Risk Management Techniques | Sustainability Reporting,"Michael J. Readey, Ph.D., University of Colorado Boulder",Starts Jul 17,Flexible schedule,Approx. 13 hours.Learn at your own pace
