課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Machine Learning,4.9 out of 5 stars,35K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,,"Random Forest Algorithm, Reinforcement Learning, Decision Tree Learning, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Supervised Learning, Predictive Modeling, Applied Machine Learning, Jupyter, Deep Learning, Feature Engineering","Supervised Machine Learning: Regression and Classification | Advanced Learning Algorithms | Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng, Geoff Ladwig, Aarti Bagul, Eddy Shyu, Stanford University",Starts Jul 19,2 months,at 10 hours. a week
IBM Machine Learning,4.6 out of 5 stars,3.2K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-machine-learning,,"Reinforcement Learning, Exploratory Data Analysis, Unsupervised Learning, Generative AI, Machine Learning, Supervised Learning, Predictive Modeling, Applied Machine Learning, Deep Learning, Feature Engineering, Data Science, Regression Analysis",Exploratory Data Analysis for Machine Learning | Supervised Machine Learning: Regression | Supervised Machine Learning: Classification | Unsupervised Machine Learning | Deep Learning and Reinforcement Learning | Machine Learning Capstone,"Kopal Garg, Xintong Li, Artem Arutyunov, Joseph Santarcangelo, Mark J Grover, Miguel Maldonado, Yan Luo, Svitlana (Lana) Kramar",Starts Jul 19,3 months,at 10 hours. a week
Machine Learning with Python,4.7 out of 5 stars,18K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-with-python,6 modules,"Scikit Learn (Machine Learning Library), Supervised Learning, Machine Learning, Dimensionality Reduction, Predictive Modeling, Statistical Analysis, Classification And Regression Tree (CART), Machine Learning Algorithms, Unsupervised Learning, Feature Engineering, Applied Machine Learning, Python Programming, Regression Analysis",Introduction to Machine Learning | Linear and Logistic Regression | Building Supervised Learning Models | Building Unsupervised Learning Models | Evaluating and Validating Machine Learning Models | Final Project and Exam,"Joseph Santarcangelo, Jeff Grossman",Starts Jul 19,Flexible schedule,Approx. 20 hours.Learn at your own pace
Machine Learning,4.6 out of 5 stars,16K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/machine-learning,,"Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Supervised Learning, Predictive Modeling, Data Mining, Statistical Machine Learning, Applied Machine Learning, Deep Learning, Computer Vision, Feature Engineering, Image Analysis",Machine Learning Foundations: A Case Study Approach | Machine Learning: Regression | Machine Learning: Classification | Machine Learning: Clustering & Retrieval,"Emily Fox, Carlos Guestrin, University of Washington",Starts Jul 19,2 months,at 10 hours. a week
Mathematics for Machine Learning and Data Science,4.6 out of 5 stars,2.8K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,,"Probability Distribution, Applied Mathematics, Sampling (Statistics), Descriptive Statistics, Machine Learning Methods, Machine Learning, Probability, Statistical Machine Learning, Jupyter, Bayesian Statistics, Mathematical Modeling, Probability & Statistics",Linear Algebra for Machine Learning and Data Science | Calculus for Machine Learning and Data Science | Probability & Statistics for Machine Learning & Data Science,Luis Serrano,Starts Jul 19,3 months,at 5 hours. a week
Mathematics for Machine Learning,4.6 out of 5 stars,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mathematics-machine-learning,,"Applied Mathematics, Artificial Neural Networks, Machine Learning, Advanced Mathematics, Jupyter, Feature Engineering, Statistics, Data Science, Regression Analysis, Probability & Statistics, Dimensionality Reduction, Algorithms",Mathematics for Machine Learning: Linear Algebra | Mathematics for Machine Learning: Multivariate Calculus | Mathematics for Machine Learning: PCA,"David Dye, Samuel J. Cooper, Marc Peter Deisenroth, A.Â Freddie Page, Imperial College London",Starts Jul 19,1 month,at 10 hours. a week
Supervised Machine Learning: Regression and Classification,4.9 out of 5 stars,29K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning,3 modules,"Predictive Modeling, Scikit Learn (Machine Learning Library), Supervised Learning, Artificial Intelligence, Python Programming, Classification And Regression Tree (CART), Jupyter, Unsupervised Learning, Machine Learning, NumPy, Regression Analysis, Feature Engineering, Statistical Modeling",Week 1: Introduction to Machine Learning | Week 2: Regression with multiple input variables | Week 3: Classification,"Andrew Ng, Aarti Bagul, Geoff Ladwig, Eddy Shyu, Stanford University",Starts Jul 19,Flexible schedule,Approx. 33 hours.Learn at your own pace
IBM Introduction to Machine Learning,4.6 out of 5 stars,3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ibm-intro-machine-learning,,"Exploratory Data Analysis, Unsupervised Learning, Machine Learning, Supervised Learning, Predictive Modeling, Applied Machine Learning, Feature Engineering, Statistical Modeling, Regression Analysis, Scikit Learn (Machine Learning Library), Dimensionality Reduction, Classification And Regression Tree (CART)",Exploratory Data Analysis for Machine Learning | Supervised Machine Learning: Regression | Supervised Machine Learning: Classification | Unsupervised Machine Learning,"Xintong Li, Joseph Santarcangelo, Mark J Grover, Miguel Maldonado, Svitlana (Lana) Kramar",Starts Jul 19,,
Machine Learning Basics,4.3 out of 5 stars,77 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-basics,4 modules,"Probability, Statistical Methods, Data Analysis, Machine Learning, Linear Algebra, Applied Machine Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Machine Learning Algorithms, Supervised Learning, Python Programming",The basic concepts of machine learning | The k-Nearest Neighbors | Linear Regression | Logistic Regression,"Jaekwang KIM, Sungkyunkwan University",Starts Jul 19,Flexible schedule,Learn at your own pace
Fundamentals of Machine Learning and Artificial Intelligence,4.5 out of 5 stars,759 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,1 module,"AWS SageMaker, Artificial Intelligence and Machine Learning (AI/ML), Deep Learning, Applied Machine Learning, Machine Learning, Amazon Web Services, Artificial Intelligence, Generative AI, Digital Transformation",Fundamentals of Machine Learning and Artificial Intelligence,"AWS Instructor, Amazon Web Services",Starts Jul 19,Flexible schedule,Learn at your own pace
Machine Learning for All,4.7 out of 5 stars,3.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/uol-machine-learning-for-all,4 modules,"Data Processing, Computer Vision, Feature Engineering, Supervised Learning, Artificial Intelligence, Data Analysis, Data Collection, Machine Learning",Machine learning | Data Features | Machine Learning in Practice | Your Machine Learning Project,"Prof Marco Gillies, University of London",Starts Jul 19,Flexible schedule,Approx. 20 hours.Learn at your own pace
Introduction to Machine Learning,4.7 out of 5 stars,3.7K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-duke,6 modules,"Machine Learning, Supervised Learning, Image Analysis, Medical Imaging, Artificial Neural Networks, Deep Learning, Natural Language Processing, Unsupervised Learning, PyTorch (Machine Learning Library), Reinforcement Learning, Applied Machine Learning, Python Programming, Computer Vision",Simple Introduction to Machine Learning | Basics of Model Learning | Image Analysis with Convolutional Neural Networks | Recurrent Neural Networks for Natural Language Processing | The Transformer Network for Natural Language Processing | Introduction to Reinforcement Learning,"Lawrence Carin, David Carlson, Timothy Dunn, Kevin Liang, Duke University",Starts Jul 19,Flexible schedule,Approx. 25 hours.Learn at your own pace
Machine Learning,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-1,12 modules,"Supervised Learning, Predictive Modeling, Regression Analysis, Deep Learning, Image Analysis, Applied Machine Learning, Matplotlib, Scikit Learn (Machine Learning Library), NumPy, Python Programming, Feature Engineering, Natural Language Processing, Pandas (Python Package), Artificial Neural Networks, Unstructured Data, Computer Vision, Machine Learning, Performance Tuning, Tensorflow, Text Mining",Welcome to Machine Learning | Python for Data Science | Weekly Summative Assessment:Â Â Python for Data Science | Introduction to Machine Learning | Building Machine Learning Models Using Python | Weekly Summative Assessment:Â Building Machine Learning Models Using Python | Artificial Neural NetworkÂ | Implementing Neural Networks and Deep Learning Using PythonÂ Â | Weekly Summative Assessment:Â Implementing Neural Networks and Deep Learning Using Python | Natural Language Processing and Image Classification | Weekly Summative Assessment:Â Natural Language Processing and Image Classification | Term-End Individual Assignment,"Dr. Mohit Bhatnagar, O.P. Jindal Global University",Starts Jul 19,Flexible schedule,Learn at your own pace
Machine Learning Introduction for Everyone,4.5 out of 5 stars,285 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-introduction-for-everyone,3 modules,"Classification And Regression Tree (CART), Predictive Modeling, Reinforcement Learning, Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, IBM Cloud, Deep Learning, Unsupervised Learning, Software Development Life Cycle, Supervised Learning, Machine Learning",Machine Learning for Everyone | Machine Learning Topics | Final Project,"Aije Egwaikhide, Yasmine Hemmati",Starts Jul 19,Flexible schedule,Approx. 6 hours.Learn at your own pace
Machine Learning in Production,4.8 out of 5 stars,3.3K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-machine-learning-in-production,3 modules,"Software Development Life Cycle, Continuous Deployment, Data Pipelines, Continuous Monitoring, Machine Learning, Data Quality, MLOps (Machine Learning Operations), Applied Machine Learning, Feature Engineering, Data Validation, Application Deployment, Artificial Intelligence and Machine Learning (AI/ML), Debugging",Week 1: Overview of the ML Lifecycle and Deployment | Week 2: Modeling Challenges and Strategies | Week 3: Data Definition and Baseline,Andrew Ng,Starts Jul 19,Flexible schedule,Approx. 11 hours.Learn at your own pace
MLOps | Machine Learning Operations,4.2 out of 5 stars,480 reviews,Advanced · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mlops-machine-learning-duke,,"Containerization, Exploratory Data Analysis, Microsoft Azure, Data Management, Data Pipelines, Machine Learning, MLOps (Machine Learning Operations), Big Data, DevOps, Cloud Computing, CI/CD, Data Manipulation","Python Essentials for MLOps | DevOps, DataOps, MLOps | MLOps Platforms: Amazon SageMaker and Azure ML | MLOps Tools: MLflow and Hugging Face","Noah Gift, Alfredo Deza, Duke University",Starts Jul 19,6 months,at 5 hours. a week
Applied Machine Learning,3.6 out of 5 stars,9 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/applied-machine-learning,,"Reinforcement Learning, PyTorch (Machine Learning Library), Decision Tree Learning, Artificial Neural Networks, Unsupervised Learning, Data Cleansing, Machine Learning, Supervised Learning, Data Mining, Statistical Machine Learning, Applied Machine Learning, Deep Learning",Applied Machine Learning: Techniques and Applications | Advanced Methods in Machine Learning Applications | Mastering Neural Networks and Model Regularization,"Erhan Guven, Johns Hopkins University",Starts Jul 19,3 months,at 5 hours. a week
The Nuts and Bolts of Machine Learning,4.8 out of 5 stars,538 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning,5 modules,"Classification And Regression Tree (CART), Machine Learning Algorithms, Advanced Analytics, Python Programming, Feature Engineering, Predictive Modeling, Unsupervised Learning, Performance Metric, Supervised Learning, Data Ethics, Workflow Management, Random Forest Algorithm, Machine Learning, Performance Tuning, Decision Tree Learning",The different types of machine learning | Workflow for building complex models | Unsupervised learning techniques | Tree-based modeling | Course 6 end-of-course project,,Starts Jul 19,Flexible schedule,Approx. 34 hours.Learn at your own pace
Preparing for Google Cloud Certification: Machine Learning Engineer,4.4 out of 5 stars,4.9K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,,"Data Governance, Data Management, Data Pipelines, Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Prompt Engineering, Machine Learning, MLOps (Machine Learning Operations), Cloud Computing, CI/CD, Feature Engineering, Cloud Platforms","Introduction to AI and Machine Learning on Google Cloud | Build, Train and Deploy ML Models with Keras on Google Cloud | Feature Engineering | Machine Learning in the Enterprise | Production Machine Learning Systems | Machine Learning Operations (MLOps): Getting Started","Google Cloud Training, Google Cloud",Starts Jul 19,2 months,at 10 hours. a week
Developing Machine Learning Solutions,4.5 out of 5 stars,63 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/developing-machine-learning-solutions,1 module,"AWS SageMaker, Predictive Modeling, Cloud Management, MLOps (Machine Learning Operations), Machine Learning, Cloud Development, Applied Machine Learning, Amazon Web Services",Developing Machine Learning Solutions,"AWS Instructor, Amazon Web Services",Starts Jul 19,1 hour to complete,
AI and Machine Learning Essentials with Python,4.5 out of 5 stars,28 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-machinelearning-essentials,,"Probability Distribution, PyTorch (Machine Learning Library), Sampling (Statistics), Artificial Neural Networks, Machine Learning Methods, Machine Learning, Supervised Learning, Probability, Statistical Machine Learning, Agentic systems, Deep Learning, Statistics",Artificial Intelligence Essentials | Statistics for Data Science Essentials | Machine Learning Essentials | Deep Learning Essentials,"Victor Preciado, Hamed Hassani, Pratik Chaudhari, Chris Callison-Burch, University of Pennsylvania",Starts Jul 19,4 months,at 8 hours. a week
Machine Learning for Trading,3.9 out of 5 stars,1.2K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-trading,,"Reinforcement Learning, Financial Market, Artificial Neural Networks, Data Pipelines, Artificial Intelligence and Machine Learning (AI/ML), Technical Analysis, Machine Learning Methods, Machine Learning, Supervised Learning, Statistical Machine Learning, Applied Machine Learning, Deep Learning","Introduction to Trading, Machine Learning & GCP | Using Machine Learning in Trading and Finance | Reinforcement Learning for Trading Strategies","Jack Farmer, Google Cloud, New York Institute of Finance",Starts Jul 19,1 month,at 10 hours. a week
Applied Machine Learning in Python,4.6 out of 5 stars,8.6K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-machine-learning,4 modules,"Feature Engineering, Supervised Learning, Predictive Modeling, Random Forest Algorithm, Dimensionality Reduction, Unsupervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Decision Tree Learning, Python Programming, Machine Learning",Module 1: Fundamentals of Machine Learning - Intro to SciKit Learn | Module 2: Supervised Machine Learning - Part 1 | Module 3: Evaluation | Module 4: Supervised Machine Learning - Part 2,"Kevyn Collins-Thompson, University of Michigan",Starts Jul 19,Flexible schedule,Approx. 31 hours.Learn at your own pace
Deep Learning,4.8 out of 5 stars,146K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/deep-learning,,"PyTorch (Machine Learning Library), Artificial Neural Networks, Performance Tuning, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Supervised Learning, Natural Language Processing, Applied Machine Learning, Debugging, Deep Learning, Computer Vision, Image Analysis","Neural Networks and Deep Learning | Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization | Structuring Machine Learning Projects | Convolutional Neural Networks | Sequence Models","Andrew Ng, Younes Bensouda Mourri, Kian Katanforoosh",Starts Jul 19,Flexible schedule,"3 months, 10 hours. a weekLearn at your own pace"
Microsoft Azure Machine Learning,4.5 out of 5 stars,239 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-azure-machine-learning,4 modules,"Classification And Regression Tree (CART), Machine Learning, Supervised Learning, Applied Machine Learning, Regression Analysis, Machine Learning Methods, Automation, Microsoft Azure, Unsupervised Learning, Predictive Modeling, Artificial Intelligence, Machine Learning Algorithms, Statistical Machine Learning",Use Automated Machine Learning in Azure Machine Learning | Create a Regression Model with Azure Machine Learning Designer | Create a Classification Model with Azure AI | Create a Clustering Model with Azure AI,,Starts Jul 19,Flexible schedule,Approx. 11 hours.Learn at your own pace
