課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Work Smarter with Microsoft Excel,4.7 out of 5 stars,2.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-excel-work-smarter,5 modules,"Excel Formulas, Spreadsheet Software, Data Visualization, Data Import/Export, Data Management, Microsoft Excel, Productivity Software, Microsoft 365",Getting started with Excel | Working with functions | Organizing and visualizing data | Advanced Excel features | Honors: Hands-on practice using Microsoft Excel,,Starts Jul 17,Flexible schedule,Approx. 21 hours.Learn at your own pace
Getting Started with Microsoft Excel,4.6 out of 5 stars,12K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-microsoft-excel,,"Excel Formulas, Spreadsheet Software, Microsoft Excel, Microsoft 365, Productivity Software",,"Summer Scaggs, Coursera Project Network",,1.5 hours,Learn at your own pace
Microsoft Excel,4.2 out of 5 stars,127 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-excel-skills,,"Predictive Modeling, Pivot Tables And Charts, Data Visualization, Statistical Analysis, Dashboard, Data Cleansing, Microsoft Excel, Data Quality, Data Presentation, Excel Formulas, Prompt Engineering, Data Transformation",Excel and Copilot Fundamentals | Data Cleaning & Processing with Copilot in Excel | Advanced Data Analysis & Visualization with Copilot in Excel | Automation & Advanced Techniques with Copilot in Excel,,Starts Jul 17,3 months,at 7 hours. a week
Excel Basics for Data Analysis,4.8 out of 5 stars,9.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,5 modules,"Microsoft Excel, Google Sheets, Excel Formulas, Spreadsheet Software, Pivot Tables And Charts, Data Wrangling, Data Analysis, Information Privacy, Data Cleansing, Data Visualization Software, Data Import/Export, Data Manipulation, Data Quality, Data Science",Introduction to Data Analysis Using Spreadsheets | Getting Started with Using Excel Spreadsheets | Cleaning & Wrangling Data Using Spreadsheets | Analyzing Data Using Spreadsheets | Final Project,"Sandip Saha Joy, Steve Ryan",Starts Jul 17,Flexible schedule,Approx. 12 hours.Learn at your own pace
Using Basic Formulas and Functions in Microsoft Excel,4.6 out of 5 stars,2.3K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/using-basic-formulas-functions-microsoft-excel,,"Spreadsheet Software, Data Analysis, Excel Formulas, Microsoft 365, Business Mathematics, Microsoft Excel, Gross Profit",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Introduction to Data Analysis using Microsoft Excel,4.7 out of 5 stars,4.1K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel,,"Data Mining, Data Analysis, Excel Formulas, Pivot Tables And Charts, Data Manipulation, Spreadsheet Software, Microsoft Excel",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Microsoft 365 Fundamentals,4.7 out of 5 stars,5.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-365-fundamentals,,"Presentations, Writing, Microsoft 365, Data Management, Data Import/Export, Data Visualization, Document Management, Microsoft Excel, Productivity Software, Collaborative Software, Excel Formulas, Microsoft Word",Work Smarter with Microsoft Word | Work Smarter with Microsoft Excel | Work Smarter with Microsoft PowerPoint,,Starts Jul 17,2 months,at 10 hours. a week
Creating a Budget with Microsoft Excel,4.5 out of 5 stars,581 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/creating-budget-microsoft-excel,,"Budget Management, Spreadsheet Software, Microsoft Excel, Microsoft 365, Financial Data, Excel Formulas, Budgeting, Accounting and Finance Software",,"Summer Scaggs, Coursera Project Network",,1 hour and 30 minutes,Learn at your own pace
Competencias digitales de ofimática: Microsoft Excel,4.8 out of 5 stars,1.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/competencias-digitales-ofimatica-excel,5 modules,"Data Management, Spreadsheet Software, Excel Formulas, Data Entry, Productivity Software, Microsoft Excel, Data Visualization, Microsoft 365",PRESENTACIÃN Y DOCUMENTACIÃN | MICROSOFT EXCEL (Uso de la aplicaciÃ³n y operaciones bÃ¡sicas) | MICROSOFT EXCEL (Dar formato) | MICROSOFT EXCEL (CÃ¡lculos) | MICROSOFT EXCEL (GrÃ¡ficos e ImpresiÃ³n),"Miquel Mazuque Periz, Universitat AutÃ²noma de Barcelona",Starts Jul 17,Flexible schedule,Approx. 6 hours.Learn at your own pace
Create Charts and Dashboards Using Microsoft Excel,4.6 out of 5 stars,955 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-charts-dashboards-using-microsoft-excel,,"Trend Analysis, Spreadsheet Software, Microsoft Excel, Dashboard, Microsoft 365, Data Visualization, Data Analysis",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Excel Skills for Business,4.9 out of 5 stars,62K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel,,"Data Management, Data Analysis Expressions (DAX), Business Reporting, Data Visualization, Business Intelligence Software, Dashboard, Data Cleansing, Microsoft Excel, Workflow Management, Productivity Software, Data Validation, Data Entry",Excel Skills for Business: Essentials | Excel Skills for Business: Intermediate I | Excel Skills for Business: Intermediate II | Excel Skills for Business: Advanced,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Professor Yvonne Breyer, Macquarie University",Starts Jul 17,3 months,at 10 hours. a week
Preparing  Data for Analysis with Microsoft Excel,4.7 out of 5 stars,4.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel,4 modules,"Timelines, Data Analysis, Spreadsheet Software, Power BI, Data Processing, Microsoft Excel, Data Cleansing, Pivot Tables And Charts, Excel Formulas, Data Manipulation",Excel fundamentals | Formulas and functions | Preparing data for analysis using functions | Final project and assessment:  Preparing data for analysis with Microsoft Excel,,Starts Jul 17,Flexible schedule,Approx. 19 hours.Learn at your own pace
Microsoft Excel VBA and Macros,4.4 out of 5 stars,181 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-excel-vba-and-macros,1 module,"Visual Basic (Programming Language), Productivity Software, Data Manipulation, Automation, Excel Macros, Microsoft Excel, Data Analysis, Strategic Decision-Making",Microsoft Excel VBA and Macros,"Arkadi Avanesyan, Coursera Instructor Network",Starts Jul 17,1 hour to complete,
Create a Financial Statement using Microsoft Excel,4.5 out of 5 stars,737 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-financial-statement-using-microsoft-excel,,"Microsoft Excel, Bookkeeping, Financial Reporting, Financial Accounting, Financial Statements, Data Entry, Excel Formulas, Financial Data, Balance Sheet, Profit and Loss (P&L) Management",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
