課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"Stored Procedure, Pandas (Python Package), Relational Databases, Databases, Query Languages, Database Design, Data Manipulation, Data Analysis, Jupyter, Database Management, SQL, Python Programming, Transaction Processing",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan",Starts Jul 19,Flexible schedule,Approx. 18 hours.Learn at your own pace
SQL for Data Science,4.6 out of 5 stars,17K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/sql-for-data-science,4 modules,"Data Modeling, Relational Databases, Data Manipulation, Data Quality, SQL, Data Cleansing, Data Analysis, Data Science, Data Governance, Database Design, Query Languages","Getting Started and Selecting & Retrieving Data with SQL | Filtering, Sorting, and Calculating Data with SQL | Subqueries and Joins in SQL | Modifying and Analyzing Data with SQL","Sadie St. Lawrence, University of California, Davis",Starts Jul 19,Flexible schedule,Approx. 15 hours.Learn at your own pace
Microsoft SQL Server,4.3 out of 5 stars,9 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-sql-server,,"Database Design, Operational Databases, Performance Tuning, Data Management, Transact-SQL, SQL, Query Languages, Database Architecture and Administration, Databases, Transaction Processing, Database Management, Microsoft SQL Servers","SQL Foundations | Data Manipulation and Transactions in SQL Server | Relational Database Design and Advanced Querying | Indexing, Performance Optimization & Functions in SQL Server | Security, Maintenance & Integration with BI Tools",,Starts Jul 19,3 months,at 7 hours. a week
Introduction to Structured Query Language (SQL),4.7 out of 5 stars,5.5K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/intro-sql,4 modules,"SQL, PHP (Scripting Language), Databases, Development Environment, Software Installation, Database Design, MySQL, Relational Databases, Data Modeling",Installing PHP and SQL | Introduction to Structured Query Language (SQL) | Database Design | Many-To-Many,"Charles Russell Severance, University of Michigan",Starts Jul 19,Flexible schedule,Approx. 15 hours.Learn at your own pace
SQL: A Practical Introduction for Querying Databases,4.7 out of 5 stars,615 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases,5 modules,"MySQL, Data Manipulation, Databases, SQL, Database Systems, IBM DB2, Microsoft SQL Servers, Data Analysis, Relational Databases, Transaction Processing, Database Management, Query Languages, Stored Procedure","Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Working with real-world data sets, Final Project & Exam | Advanced SQL for Data Engineers",Rav Ahuja,Starts Jul 19,,
Learn SQL Basics for Data Science,4.6 out of 5 stars,17K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/learn-sql-basics-data-science,,"Database Design, Presentations, Descriptive Statistics, Data Governance, Exploratory Data Analysis, Data Pipelines, SQL, Data Lakes, Data Quality, Distributed Computing, Complex Problem Solving, Peer Review",SQL for Data Science | SQL Problem Solving | SQL for Data Science Capstone Project,"Don Noxon, Conor Murphy, Katrina Glaeser Poole, Brooke Wenig, Sadie St. Lawrence, University of California, Davis",Starts Jul 19,2 months,at 10 hours. a week
Understanding Basic SQL Syntax,4.7 out of 5 stars,311 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/basic-sql-syntax,,"Data Manipulation, SQL, Relational Databases, Query Languages, Data Access",,"Judy Richardson, Coursera Project Network",,1.5 hours,Learn at your own pace
Oracle SQL Databases,4.6 out of 5 stars,862 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/oracle-sql-databases,,"Database Design, Database Theory, SQL, Database Administration, Database Software, Database Architecture and Administration, Databases, Transaction Processing, Data Storage, Database Management, Oracle Databases, Database Management Systems",Oracle Database Foundations | Oracle Database Platform | Oracle SQL Basics | Oracle SQL Proficiency,Rafiq Wayani,Starts Jul 19,1 month,at 10 hours. a week
Google Data Analytics,4.8 out of 5 stars,171K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Tableau Software, Presentations, Sampling (Statistics), Data Cleansing, Applicant Tracking Systems, Interactive Data Visualization, Data Ethics, Rmarkdown, Data Validation, LinkedIn, Data Visualization Software, Data Presentation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",,Starts Jul 19,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
PostgreSQL for Everybody,4.7 out of 5 stars,1.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/postgresql-for-everybody,,"Database Design, Cloud Applications, Database Theory, Natural Language Processing, SQL, Query Languages, Database Architecture and Administration, Databases, Database Management, NoSQL, Data Manipulation, Database Management Systems","Database Design and Basic SQL in PostgreSQL | Intermediate PostgreSQL | JSON and Natural Language Processing in PostgreSQL | Database Architecture, Scale, and NoSQL with Elasticsearch","Charles Russell Severance, University of Michigan",Starts Jul 19,1 month,at 10 hours. a week
