課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Computer Science: Programming with a Purpose,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-programming-java,10 modules,"Debugging, Object Oriented Programming (OOP), Algorithms, Java, Programming Principles, Program Development, Data Structures, Computer Science, Performance Tuning, Computer Programming, Java Programming, Animations, Computational Thinking",BASIC PROGRAMMING CONCEPTS | CONDITIONALS AND LOOPS | ARRAYS | INPUT AND OUTPUT | FUNCTIONS AND LIBRARIES | RECURSION | PERFORMANCE | ABSTRACT DATA TYPES | CREATING DATA TYPES | PROGRAMMING LANGUAGES,"Robert Sedgewick, Kevin Wayne, Princeton University",Starts Jul 19,Flexible schedule,Approx. 88 hours.Learn at your own pace
Introduction to Computer Science and Programming,4.2 out of 5 stars,1.5K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/introduction-computer-science-programming,,"Development Environment, Web Applications, Arithmetic, Computer Networking, General Mathematics, Theoretical Computer Science, Computer Graphics, Cybersecurity, Javascript, Debugging, Operating Systems, Systems Of Measurement",Introduction to Computer Programming | How Computers Work | Mathematics for Computer Science,"Dr Simon Katan, Prof Marco Gillies, Dr Matthew Yee-King, Dr Edward Anstead, Omar Karakchi, University of London, Goldsmiths, University of London",Starts Jul 19,1 month,at 10 hours. a week
"Computer Science:  Algorithms, Theory, and Machines",4.7 out of 5 stars,714 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-algorithms-theory-machines,11 modules,"Computer Hardware, Theoretical Computer Science, Computer Architecture, Algorithms, Java Programming, Data Structures, Computer Science, Computational Logic, Computational Thinking, Programming Principles",INFORMATION ABOUT LECTURES 1â10 | SORTING AND SEARCHING | STACKS AND QUEUES | SYMBOL TABLES | INTRODUCTION TO THE THEORY OF COMPUTING | TURING MACHINES | INTRACTABILITY | A COMPUTING MACHINE | VON NEUMANN MACHINES | COMBINATIONAL CIRCUITS | CENTRAL PROCESSING UNIT,"Robert Sedgewick, Kevin Wayne, Princeton University",Starts Jul 19,Flexible schedule,Approx. 20 hours.Learn at your own pace
Computational Thinking for Problem Solving,4.7 out of 5 stars,1.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/computational-thinking-problem-solving,4 modules,"Computational Thinking, Pseudocode, Computer Programming, Analysis, Debugging, Computer Hardware, Data Structures, Python Programming, Algorithms, Problem Solving",Pillars of Computational Thinking | Expressing and Analyzing Algorithms | Fundamental Operations of a Modern Computer | Applied Computational Thinking Using Python,"Susan Davidson, University of Pennsylvania",Starts Jul 19,Flexible schedule,Approx. 18 hours.Learn at your own pace
Fundamentals of Computing,4.8 out of 5 stars,4.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/computer-fundamentals,,"Combinatorics, Interactive Design, Event-Driven Programming, Object Oriented Programming (OOP), Theoretical Computer Science, Data Structures, Application Development, Probability, Big Data, Graph Theory, Computer Science, Programming Principles",An Introduction to Interactive Programming in Python (Part 1) | An Introduction to Interactive Programming in Python (Part 2) | Principles of Computing (Part 1) | Principles of Computing (Part 2) | Algorithmic Thinking (Part 1) | Algorithmic Thinking (Part 2) | The Fundamentals of Computing Capstone Exam,"Luay Nakhleh, Joe Warren, John Greiner, Scott Rixner, Stephen Wong, Rice University",Starts Jul 19,2 months,at 10 hours. a week
Meta Full-Stack Developer,4.7 out of 5 stars,24K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/meta-full-stack-developer,,"Database Design, HTML and CSS, Jest (JavaScript Testing Framework), Unix Commands, React.js, Object Oriented Programming (OOP), Mobile Development, SQL, Responsive Web Design, API Design, Linux Commands, Version Control",Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Programming in Python | Introduction to Databases for Back-End Development | Django Web Framework | APIs,Taught by Meta Staff,Starts Jul 19,8 months,at 10 hours. a week
Accelerated Computer Science Fundamentals,4.7 out of 5 stars,3.5K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/cs-fundamentals,,"Development Environment, Object Oriented Design, Database Theory, Object Oriented Programming (OOP), Theoretical Computer Science, Data Structures, Debugging, Graph Theory, Data Storage, C++ (Programming Language), Software Engineering, Database Systems",Object-Oriented Data Structures in C++ | Ordered Data Structures | Unordered Data Structures,"Wade Fagen-Ulmschneider, University of Illinois Urbana-Champaign",Starts Jul 19,2 months,at 10 hours. a week
Algorithms,4.8 out of 5 stars,6K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/algorithms,,"Theoretical Computer Science, Data Structures, Probability, Design Strategies, Mathematical Theory & Analysis, Operations Research, Graph Theory, Analysis, Network Model, Computational Thinking, Network Routing, Network Analysis","Divide and Conquer, Sorting and Searching, and Randomized Algorithms | Graph Search, Shortest Paths, and Data Structures | Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming | Shortest Paths Revisited, NP-Complete Problems and What To Do About Them","Tim Roughgarden, Stanford University",Starts Jul 19,1 month,at 10 hours. a week
Introduction to Software Engineering,4.7 out of 5 stars,3.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-software-engineering,6 modules,"Software Architecture, Software Design Patterns, Integrated Development Environments, Unified Modeling Language, Development Environment, Python Programming, Programming Principles, Systems Development, Software Design, Software Documentation, Engineering Software, Software Engineering, Program Development, Application Development, Software Development Life Cycle, Software Development Methodologies, Software Development Tools, Agile Methodology","The Software Development Lifecycle | Introduction to Software Development | Basics of Programming | Software Architecture, Design, and Patterns | Job Opportunities and Skillsets in Software Engineering | Final Quiz and Final Project","Rav Ahuja, Bethany Hudnutt",Starts Jul 19,Flexible schedule,Approx. 14 hours.Learn at your own pace
Learn to Program: The Fundamentals,4.7 out of 5 stars,6.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-to-program,7 modules,"Debugging, Software Documentation, File Management, Programming Principles, Python Programming, Integrated Development Environments, Program Development, Computer Programming, Data Structures","Python, Variables, and Functions | Strings and Designing Functions | Booleans, Import, Namespaces, and if Statements | For Loops and Fancy String Manipulation | While Loops, Lists, and Mutability | For Loops Over Indices, Parallel and Nested Lists and Strings, and Files | Tuples and Dictionaries","Jennifer Campbell, Paul Gries, University of Toronto",Starts Jul 19,,
Meta Web Development Fundamentals,4.7 out of 5 stars,16K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/meta-web-development-fundamentals,,"Database Design, HTML and CSS, Communication, Front-End Web Development, Unit Testing, Object Oriented Programming (OOP), SQL, Responsive Web Design, Database Administration, Debugging, Databases, Database Management Systems",Introduction to Front-End Development | HTML and CSS in depth | Programming in Python | Introduction to Databases for Back-End Development | Django Web Framework,Taught by Meta Staff,Starts Jul 19,4 months,at 10 hours. a week
Data Structures and Algorithms,4.6 out of 5 stars,17K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-structures-algorithms,,"Software Testing, Theoretical Computer Science, Data Structures, Debugging, Operations Research, Graph Theory, Data Storage, Network Model, Programming Principles, Computational Thinking, Epidemiology, Test Engineering",Algorithmic Toolbox | Data Structures | Algorithms on Graphs | Algorithms on Strings | Advanced Algorithms and Complexity | Genome Assembly Programming Challenge,"Michael Levin, Daniel M Kane, Pavel  Pevzner, Neil Rhodes, Alexander S. Kulikov, University of California San Diego",Starts Jul 19,5 months,at 10 hours. a week
Introduction to Software Engineering,4.7 out of 5 stars,3.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-software-engineering,6 modules,"Software Architecture, Software Design Patterns, Integrated Development Environments, Unified Modeling Language, Development Environment, Python Programming, Programming Principles, Systems Development, Software Design, Software Documentation, Engineering Software, Software Engineering, Program Development, Application Development, Software Development Life Cycle, Software Development Methodologies, Software Development Tools, Agile Methodology","The Software Development Lifecycle | Introduction to Software Development | Basics of Programming | Software Architecture, Design, and Patterns | Job Opportunities and Skillsets in Software Engineering | Final Quiz and Final Project","Rav Ahuja, Bethany Hudnutt",Starts Jul 19,Flexible schedule,Approx. 14 hours.Learn at your own pace
Programming Fundamentals,4.7 out of 5 stars,6.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/programming-fundamentals,4 modules,"Algorithms, Debugging, Problem Solving, Pseudocode, Data Structures, Programming Principles, Computational Thinking, Software Testing, Computer Programming",Introduction | Reading Code | Types | Project,"Andrew D. Hilton, Genevieve M. Lipp, Anne Bracy, Duke University",Starts Jul 19,Flexible schedule,Approx. 18 hours.Learn at your own pace
