課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Google Cybersecurity,4.8 out of 5 stars,54K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cybersecurity,,"Intrusion Detection and Prevention, Cyber Attacks, Computer Security Incident Management, Bash (Scripting Language), Vulnerability Assessments, Linux, Threat Management, Debugging, Vulnerability Management, Cyber Threat Intelligence, Network Security, Hardening","Foundations of Cybersecurity | Play It Safe: Manage Security Risks | Connect and Protect: Networks and Network Security | Tools of the Trade: Linux and SQL | Assets, Threats, and Vulnerabilities | Sound the Alarm: Detection and Response | Automate Cybersecurity Tasks with Python | Put It to Work: Prepare for Cybersecurity Jobs | Accelerate Your Job Search with AI",,Starts Jul 18,Flexible schedule,"6 months, 7 hours. a weekLearn at your own pace"
Foundations of Cybersecurity,4.9 out of 5 stars,35K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/foundations-of-cybersecurity,4 modules,"Security Management, Data Ethics, Incident Response, Security Information and Event Management (SIEM), Cyber Security Strategy, Information Assurance, Network Analysis, Cybersecurity, Cyber Attacks, Security Controls, Cyber Risk, Ethical Standards And Conduct","Welcome to the exciting world of cybersecurity | The evolution of cybersecurity | Protect against threats, risks, and vulnerabilities | Cybersecurity tools and programming languages",,Starts Jul 18,Flexible schedule,Approx. 10 hours.Learn at your own pace
Cybersecurity for Everyone,4.7 out of 5 stars,3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-everyone,6 modules,"Cybersecurity, Telecommunications, Cyber Attacks, Threat Detection, Security Awareness, Security Management, Political Sciences, Public Safety and National Security, Cyber Risk, Cyber Security Policies, Computer Security Awareness Training, Cyber Governance, Cyber Security Strategy, Enterprise Security, Governance, Data Security, General Networking, Infrastructure Security, Vulnerability, Risk Management","Cybersecurity for Everyone:  Defining Cyber, Security, and Cybersecurity Policy (Week 1) | Cybersecurity for Everyone: Evolution of the Internet (Week 2) | Cybersecurity for Everyone: Global Telecommunications Architecture and Governance (Week 3) | Cybersecurity for Everyone: Threat Actors and Their Motivations (Week 4) | Cybersecurity for Everyone: The Hacking Process (Week 5) | Cybersecurity for Everyone: End Effects - Direct and Indirect Consequences (Week 6)","Charles Harry, University of Maryland, College Park",Starts Jul 18,Flexible schedule,Approx. 21 hours.Learn at your own pace
IBM Cybersecurity Analyst,4.6 out of 5 stars,26K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,,"Endpoint Security, Intrusion Detection and Prevention, Computer Security Incident Management, TCP/IP, Malware Protection, Cyber Threat Hunting, Linux, Networking Hardware, IT Service Management, Database Management, Cyber Threat Intelligence, Information Technology Infrastructure Library","Introduction to Cybersecurity Careers | Introduction to Cybersecurity Essentials | Introduction to Cybersecurity Tools & Cyberattacks | Operating Systems: Overview, Administration, and Security | Computer Networks and Network Security | Database Essentials and Vulnerabilities | Cybersecurity Architecture | Cybersecurity Compliance Framework, Standards & Regulations | Penetration Testing, Threat Hunting, and Cryptography | Incident Response and Digital Forensics | Cybersecurity Case Studies and Capstone Project | Cybersecurity Assessment: CompTIA Security+ & CYSA+ | Generative AI: Boost Your Cybersecurity Career | Cybersecurity Job Search, Resume, and Interview Prep","IBM Skills Network Team, Dee Dee Collette, Jeff Crume, Dr. Manish Kumar, Rav Ahuja",Starts Jul 18,,
Certified in Cybersecurity,4.7 out of 5 stars,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/certified-in-cybersecurity,,"Cyber Attacks, Infrastructure Security, Computer Security Incident Management, Role-Based Access Control (RBAC), Security Controls, Disaster Recovery, Security Management, Event Monitoring, Configuration Management, Governance, Data Security, Risk Management Framework","Security Principles | Incident Response, BC, and DR Concepts | Access Control Concepts | Network Security | Security Operations",ISC2 Education & Training,Starts Jul 18,1 month,at 10 hours. a week
Introduction to Cybersecurity Fundamentals,4.6 out of 5 stars,854 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-fundamentals,1 module,"Mitigation, Email Security, Computer Security Awareness Training, Cybersecurity, Cyber Attacks, Data Security, Personally Identifiable Information, Security Awareness, Threat Management, Malware Protection",Introduction to Cybersecurity Fundamentals,"Kevin  Cardwell, Coursera Instructor Network",Starts Jul 18,Flexible schedule,Approx. 2 hours.Learn at your own pace
Microsoft Cybersecurity Analyst,4.7 out of 5 stars,2.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,,"Computer Security Incident Management, Data Management, Authentications, Threat Management, Security Testing, Business Software, Security Information and Event Management (SIEM), System Testing, Network Security, Azure Active Directory, MITRE ATT&CK Framework, Cloud Computing",Introduction to Computers and Operating Systems and Security | Introduction to Networking and Cloud Computing | Cybersecurity Threat Vectors and Mitigation | Cybersecurity Identity and Access Solutions using Azure AD | Cybersecurity Solutions and Microsoft Defender | Cybersecurity Tools and Technologies | Cybersecurity Management and Compliance | Advanced Cybersecurity Concepts and Capstone Project | Microsoft SC-900 Exam Preparation and Practice,,Starts Jul 18,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
Introduction to Cybersecurity Essentials,4.8 out of 5 stars,954 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-essentials,4 modules,"Personally Identifiable Information, Threat Management, Authentications, Security Controls, Data Security, Security Awareness, Cyber Attacks, Cryptography, Multi-Factor Authentication, Network Security, Hardening, Application Security, Encryption, Cybersecurity, Computer Security Awareness Training, Information Systems Security, Malware Protection",Common Security Threats and Risks | Security Best Practicesâ¯ | Safe Browsing Practices | Final Module,IBM Skills Network Team,Starts Jul 18,Flexible schedule,Approx. 12 hours.Learn at your own pace
Cybersecurity Operations Fundamentals,4.8 out of 5 stars,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cbrops,,"Endpoint Security, Threat Detection, Computer Security Incident Management, Malware Protection, Cyber Threat Hunting, Vulnerability Assessments, Linux, Incident Management, Data Security, Cyber Threat Intelligence, Network Security, Key Management",Security Operations Center (SOC) | Endpoints and Systems | Network Security | Data Security | Threat Analysis | Threat Investigation | Threat Response,"Cisco Learning & Certifications, Cisco Learning and Certifications",Starts Jul 18,3 months,at 2 hours. a week
AI for Cybersecurity,4.4 out of 5 stars,49 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-for-cybersecurity,,"Intrusion Detection and Prevention, Cyber Attacks, Threat Detection, Malware Protection, Generative AI, Authentications, System Design and Implementation, Machine Learning Software, Jupyter, Anomaly Detection, Cyber Threat Intelligence, Feature Engineering",Introduction to AI for Cybersecurity | Advanced Malware and Network Anomaly Detection | Securing AI and Advanced Topics,"Lanier Watkins, Johns Hopkins University",Starts Jul 18,3 months,at 5 hours. a week
