課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Introduction to DevOps,4.8 out of 5 stars,3.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/intro-to-devops,6 modules,"Performance Metric, Team Oriented, Test Driven Development (TDD), Cross-Functional Collaboration, Microservices, Culture Transformation, Scrum (Software Development), CI/CD, Accountability, Cloud-Native Computing, DevOps, Agile Methodology, Behavior-Driven Development",Overview of DevOps | Thinking DevOps | Working DevOps | Organizing for DevOps | Measuring DevOps | Case Studies and Final Exam,John Rofrano,Starts Jul 19,Flexible schedule,Approx. 9 hours.Learn at your own pace
IBM DevOps and Software Engineering,4.6 out of 5 stars,61K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/devops-and-software-engineering,,"Software Development Life Cycle, Kubernetes, Application Development, DevOps, CI/CD, Open Web Application Security Project (OWASP), Continuous Integration, Linux Commands, Jupyter, Test Driven Development (TDD), Jenkins, Application Deployment","Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum | Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project","John Rofrano, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Ramesh Sannareddy, Sam Prokopchuk, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 19,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
DevOps Mastery,4.6 out of 5 stars,179 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/devops-mastery,,"Containerization, Kubernetes, Terraform, Command-Line Interface, Linux Administration, DevOps, CI/CD, Continuous Integration, Systems Administration, Version Control, Microservices, Infrastructure as Code (IaC)",DevOps Prerequisite Course | Git Basics for DevOps | Jenkins for Beginners | Docker Basics for DevOps | Kubernetes Basics for DevOps | Ansible for the Absolute Beginners | Terraform for the Absolute Beginner with Hands-on Labs | Python for the Absolute Beginner,"Lydia Halie, Vijin Palazhi, Michael Levan, Mumshad Mannambeth",Starts Jul 19,3 months,at 10 hours. a week
Amazon DevOps Guru Getting Started,4.4 out of 5 stars,26 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/amazon-devops-guru-getting-started,1 module,"Amazon Web Services, Devops Tools, Application Deployment, DevOps, Amazon CloudWatch",Amazon DevOps Guru Getting Started,"AWS Instructor, Amazon Web Services",Starts Jul 19,1 hour to complete,
"Azure Data Engineering: Cosmos DB, SQL & Analytics",N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/azure-data-engineering-cosmos-db-sql--analytics,1 module,"Cloud Computing Architecture, Scalability, Performance Tuning, Data Processing, Azure Synapse Analytics, Process Optimization, Cloud-Native Computing, SQL, Query Languages, NoSQL, Microsoft Azure, Transact-SQL, Analytics, Business Intelligence, Dashboard, Data Modeling, System Monitoring, Data Storage, Data Architecture","Azure Data Engineering: Cosmos DB, SQL & Analytics","Christopher Klaus, Coursera Instructor Network",Starts Jul 19,Flexible schedule,Learn at your own pace
IBM Applied DevOps Engineering,4.7 out of 5 stars,7.3K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,,"Containerization, Kubernetes, Cloud Applications, DevOps, Code Coverage, CI/CD, Open Web Application Security Project (OWASP), Continuous Integration, OpenShift, System Monitoring, Test Driven Development (TDD), Behavior-Driven Development","Introduction to DevOps | Introduction to Agile Development and Scrum | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project","John Rofrano, Upkar Lidder, Alex Parker, Ramanujam Srinivasan",Starts Jul 19,3 months,at 10 hours. a week
"DevOps, Cloud, and Agile Foundations",4.7 out of 5 stars,13K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,,"Cloud-Native Computing, Kanban Principles, Performance Metric, Workflow Management, Agile Project Management, DevOps, Cloud Computing, CI/CD, Test Driven Development (TDD), Cloud Platforms, Scrum (Software Development), Sprint Planning",Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum,"John Rofrano, Rav Ahuja",Starts Jul 19,1 month,at 10 hours. a week
DevSecOps,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/mq-csa-devsecops,6 modules,"DevOps, API Design, Containerization, Git (Version Control System), Kubernetes, Cybersecurity, Security Engineering, Web Applications, Microsoft Azure, Hardening, IT Security Architecture, DevSecOps, Cloud-Native Computing, Azure DevOps, Software Architecture, Infrastructure as Code (IaC), Software Design, Software Engineering, Secure Coding, Role-Based Access Control (RBAC)",Development and Operations with Security | Secure Software Development | Application Aspects of DevSecOps | DevSecOps in Pipelines | DevSecOps in Cloud Environment (based on Azure) | Threats and Attacks,"Matt Bushby, Macquarie University",Starts Jul 19,Flexible schedule,Learn at your own pace
DevOps and AI on AWS,4.6 out of 5 stars,16 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/devops-ai-aws,,"Containerization, AWS CloudFormation, Generative AI, Cloud Applications, Prompt Engineering, Unit Testing, DevSecOps, DevOps, CI/CD, Continuous Integration, Infrastructure as Code (IaC), Application Deployment",DevOps and AI on AWS: Upgrading Apps with Generative AI | DevOps and AI on AWS: CI/CD for Generative AI Applications | DevOps and AI on AWS: AIOps,"Russell Sayers, Morgan Willis, Rafael Lopes, Amazon Web Services",Starts Jul 19,1 month,at 10 hours. a week
DevOps Complete Course,4.3 out of 5 stars,15 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-devops-complete-course,,"Containerization, Kubernetes, Artifactory, Software Development Tools, Build Tools, DevOps, CI/CD, Continuous Integration, Version Control, Infrastructure as Code (IaC), Ansible, Application Deployment",Foundations of DevOps and Git | Advanced Git and GitHub Practices | Build Automation and Continuous Integration | Advanced DevOps Tools and Practices,Packt - Course Instructors,Starts Jul 19,2 months,at 10 hours. a week
