課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"NumPy, Jupyter, Restful API, Data Import/Export, Data Processing, Data Structures, Application Programming Interface (API), Web Scraping, Scripting, Data Analysis, Automation, Object Oriented Programming (OOP), Data Manipulation, Pandas (Python Package), Python Programming, Computer Programming, Programming Principles, JSON",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo,Starts Jul 18,Flexible schedule,Approx. 25 hours.Learn at your own pace
Crash Course on Python,4.8 out of 5 stars,39K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-crash-course,5 modules,"Problem Management, Debugging, Python Programming, Data Structures, Computer Programming, Development Environment, Programming Principles, Algorithms, Integrated Development Environments, Computational Thinking","Hello Python! | Basic Python Syntax | Loops | Strings, Lists and Dictionaries | Final Project",,Starts Jul 18,Flexible schedule,Approx. 20 hours.Learn at your own pace
Python for Everybody,4.8 out of 5 stars,278K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python,,"Database Systems, Data Collection, Data Visualization, Data Processing, Data Structures, Database Management, Database Design, Web Services, JSON, Application Programming Interface (API), Restful API, Relational Databases","Programming for Everybody (Getting Started with Python) | Python Data Structures | Using Python to Access Web Data | Using Databases with Python | Capstone: Retrieving, Processing, and Visualizing Data with Python","Charles Russell Severance, University of Michigan",Starts Jul 18,Flexible schedule,"2 months, 10 hours. a weekLearn at your own pace"
"Programación con Python, nivel básico",N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programacion-con-python-basico,6 modules,"Development Environment, Computational Thinking, Integrated Development Environments, Computational Logic, Algorithms, Programming Principles, Program Development, Software Testing, Python Programming, Computer Programming, Debugging",MÃ³dulo 1: IntroducciÃ³n | MÃ³dulo 2: Conceptos bÃ¡sicos | MÃ³dulo 3: Condicionales | MÃ³dulo 4: Ciclos | MÃ³dulo 5: Funciones | MÃ³dulo 6: Aplicaciones,Universidad Nacional de Colombia,Starts Jul 18,Flexible schedule,Learn at your own pace
Microsoft Python Development,4.4 out of 5 stars,307 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Automation, Flask (Web Framework), Scripting, Generative AI, Plotly, Data Visualization, Debugging, Version Control, Git (Version Control System), Data Structures, DevOps, Data Analysis",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,,Starts Jul 18,4 months,at 8 hours. a week
Programming in Python,4.6 out of 5 stars,1.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-in-python,5 modules,"Software Testing, Object Oriented Programming (OOP), Unit Testing, Test Driven Development (TDD), Integrated Development Environments, Programming Principles, Django (Web Framework), Computer Programming, Data Structures, Development Environment, Python Programming, Debugging, Cloud Hosting","Getting started with Python | Basic Programming with Python | Programming paradigms | Modules, packages, libraries and tools | End-of-Course Graded Assessment",Taught by Meta Staff,Starts Jul 18,Flexible schedule,Approx. 45 hours.Learn at your own pace
Data Analysis with Python,4.7 out of 5 stars,19K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-python,6 modules,"Pandas (Python Package), Scikit Learn (Machine Learning Library), Feature Engineering, NumPy, Predictive Modeling, Regression Analysis, Data Manipulation, Data-Driven Decision-Making, Python Programming, Descriptive Statistics, Data Wrangling, Data Cleansing, Data Visualization, Matplotlib, Exploratory Data Analysis, Data Analysis, Data Pipelines, Statistical Modeling, Data Import/Export, Supervised Learning",Importing Data Sets | Data Wrangling | Exploratory Data Analysis | Model Development | Model Evaluation and Refinement | Final Assignment,Joseph Santarcangelo,Starts Jul 18,Flexible schedule,Approx. 16 hours.Learn at your own pace
Python Programming Essentials Training,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-programming-essentials-training,3 modules,"Programming Principles, Software Installation, Object Oriented Programming (OOP), Application Development, Software Design, Data Structures, Computer Programming, Computational Thinking, Integrated Development Environments, Python Programming, Development Environment","Introduction to Programming and Python Setup | Python Core Concepts | Functions, Functional Programming, and Threading",Priyanka Mehta,Starts Jul 18,Flexible schedule,Learn at your own pace
Introduction to Python for Scientific Computing,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-python-scientific-computing,4 modules,"Numerical Analysis, Integrated Development Environments, Matplotlib, Scientific Visualization, Debugging, Engineering Calculations, Computer Programming, Programming Principles, Data Analysis, Computational Thinking, Data Visualization, NumPy, Engineering Analysis","Introduction to Python Programming | Control Flow and Functions in Python | Arrays, Math, and Visualization | Numeric and Symbolic Computation","Carolyn Kohlmeier, Charlie Nuttelman, University of Colorado Boulder",Starts Jul 18,,
Get Started with Python,4.8 out of 5 stars,1.6K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/get-started-with-python,5 modules,"Data Manipulation, Data Analysis, Data Structures, Algorithms, Scripting, Programming Principles, NumPy, Data Visualization, Object Oriented Programming (OOP), Pandas (Python Package), Python Programming","Hello, Python! | Functions and conditional statements | Loops and strings | Data structures in Python | Course 2 end-of-course project",,Starts Jul 18,Flexible schedule,Approx. 24 hours.Learn at your own pace
