課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Prompt Engineering for ChatGPT,4.8 out of 5 stars,6.2K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,6 modules,"Application Development, Prompt Engineering, Generative AI, Artificial Intelligence, ChatGPT, Large Language Modeling, Creative Thinking, Problem Solving, Collaboration, Ingenuity, Brainstorming, Productivity",Course Introduction | Introduction to Prompts | Prompt Patterns I | Few-Shot Examples | Prompt Patterns II | Prompt Patterns III,"Dr. Jules White, Vanderbilt University",Starts Jul 15,Flexible schedule,Approx. 18 hoursLearn at your own pace
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Prompt Engineering, Large Language Modeling, ChatGPT, IBM Cloud","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja",Starts Jul 15,,
ChatGPT: Master Free AI Tools to Supercharge Productivity,4.8 out of 5 stars,6.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,,"Productivity, Communication, Scenario Testing, Brainstorming, Generative AI, ChatGPT, Ingenuity, Productivity Software, AI Personalization, Marketing, Travel Arrangements, Personalized Service",Prompt Engineering for ChatGPT | Advanced Prompt Engineering for Everyone | OpenAI GPTs: Creating Your Own Custom AI Assistants,"Dr. Jules White, Vanderbilt University",Starts Jul 15,1 month,at 10 hours a week
ChatGPT - Usos y Estrategias,4.9 out of 5 stars,1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chat-gpt,4 modules,"Ethical Standards And Conduct, Artificial Intelligence, ChatGPT, Prompt Engineering, Innovation, Productivity, Critical Thinking, Data Ethics, Creativity, Generative AI, Natural Language Processing","Tema 1. Historia y fundamentos de la Inteligencia Artificial, la esencia de ChatGPT | Tema 2. Conceptos clave para la utilizaciÃ³n efectiva de ChatGPT | Tema 3. Implementando ChatGPT responsablemente en la educaciÃ³n y el ambiente laboral | Tema 4. Consideraciones Ã©ticas, capacidades y limitaciones de ChatGPT","Olaf RomÃ¡n, Luis Fernando MorÃ¡n Mirabal, TecnolÃ³gico de Monterrey",Starts Jul 15,Flexible schedule,Approx. 18 hoursLearn at your own pace
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-excel,,"Pivot Tables And Charts, Productivity, Data Synthesis, Data Analysis, Microsoft Excel, Data Cleansing, Generative AI, ChatGPT, Productivity Software, Interactive Data Visualization, Data Integration, Spreadsheet Software","ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT + Excel: Master AI-driven Formulas & Visualizations | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University",Starts Jul 15,1 month,at 3 hours a week
ChatGPT Advanced Data Analysis,4.8 out of 5 stars,816 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/chatgpt-advanced-data-analysis,5 modules,"Artificial Intelligence, Prompt Engineering, ChatGPT, File Management, Generative AI, Information Management, Data Presentation, Problem Solving, Creativity, Document Management, Automation, Data Analysis, Microsoft Excel","Introduction to ChatGPT Advanced Data Analysis | Introduction to ChatGPT Advanced Data Analysis Use Cases | Tackle the Right Problems: Appropriate Use of ChatGPT Advanced Data Analysis | Human and AI Process Planning in ChatGPT Advanced Data Analysis | Error Identification Techniques, Error Handling, and Techniques for Large Documents & Outputs","Dr. Jules White, Vanderbilt University",Starts Jul 15,Flexible schedule,Approx. 10 hoursLearn at your own pace
ChatGPT for Project Management - Leveraging AI for Success,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-project-management,,"Productivity, Project Implementation, Project Schedules, Risk Analysis, Generative AI, ChatGPT, Project Management, Key Performance Indicators (KPIs), Project Documentation, Project Planning, Creative Thinking, Taking Meeting Minutes","ChatGPT for Project Management: Execution, Tracking, Success | Prompt Engineering for ChatGPT | ChatGPT for Project Management: Insight, Planning, & Success","Dr. Jules White, Vanderbilt University",Starts Jul 15,1 month,at 10 hours a week
Innovative Teaching with ChatGPT,4.8 out of 5 stars,554 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chatgpt-innovative-teaching,1 module,"Interactive Design, Game Design, ChatGPT, Education Software and Technology, Brainstorming, Student Engagement, Innovation, Creative Problem-Solving, Prompt Engineering, AI Personalization",Introduction,"Dr. Jules White, Vanderbilt University",Starts Jul 15,Flexible schedule,Approx. 2 hoursLearn at your own pace
ChatGPT for Beginners: Save time with Microsoft Excel,4.7 out of 5 stars,306 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/chatgpt-for-beginners-save-time-with-microsoft-excel,,"Text Mining, Business Analytics, Data Manipulation, Prompt Engineering, Unstructured Data, Microsoft Excel, Data Cleansing, Generative AI, Data Analysis Software, Data Management, Excel Formulas, ChatGPT",,"Jan Demiralp, Coursera Project Network",,2 hours 30 mins,Learn at your own pace
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier",4.8 out of 5 stars,6.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation,,"Productivity, Automation, Expense Reports, Brainstorming, Agentic systems, Generative AI, ChatGPT, Ingenuity, Productivity Software, Generative AI Agents, AI Personalization, Personalized Service",Prompt Engineering for ChatGPT | OpenAI GPTs: Creating Your Own Custom AI Assistants | ChatGPT & Zapier: Agentic AI for Everyone,"Dr. Jules White, Vanderbilt University",Starts Jul 15,1 month,at 10 hours a week
