課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Introduction to Artificial Intelligence (AI),4.7 out of 5 stars,20K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-ai,4 modules,"Natural Language Processing, Generative AI, Market Opportunities, ChatGPT","Introduction and Applications of AI | AI Concepts, Terminology, and Application Domains | Business and Career Transformation Through AI | Issues, Concerns, and Ethical Considerations",Rav Ahuja
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Prompt Engineering, IBM Cloud, Large Language Modeling, ChatGPT","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja"
AI For Everyone,4.8 out of 5 stars,48K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-for-everyone,4 modules,"Artificial Intelligence, Deep Learning, Data Ethics, Machine Learning, Team Building, Business Ethics, Artificial Intelligence and Machine Learning (AI/ML), Needs Assessment, Market Opportunities, Engineering Management, Artificial Neural Networks, Strategic Thinking, Data Science",What is AI? | Building AI Projects | Building AI In Your Company | AI and Society,Andrew Ng
Fundamentals of Machine Learning and Artificial Intelligence,4.5 out of 5 stars,636 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,1 module,"Amazon Web Services, Artificial Intelligence, Machine Learning, Applied Machine Learning, Deep Learning, Generative AI, Digital Transformation, Artificial Intelligence and Machine Learning (AI/ML), AWS SageMaker",Fundamentals of Machine Learning and Artificial Intelligence,"AWS Instructor, Amazon Web Services"
AI Foundations for Everyone,4.7 out of 5 stars,28K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-foundations-for-everyone,,"Application Deployment, Artificial Intelligence, Machine Learning, Automation, ChatGPT, Generative AI, Business Process Automation, Content Creation, IBM Cloud, Deep Learning, Market Opportunities, Image Analysis",Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Building AI Powered Chatbots Without Programming,"Rav Ahuja, Antonio Cangiano"
IBM RAG and Agentic AI,4.6 out of 5 stars,38 reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai,,"Real Time Data, Artificial Intelligence, Generative AI Agents, Agentic systems, Flask (Web Framework), Full-Stack Web Development, Generative AI, Database Management, Data Governance, Databases, Application Development, Database Systems","Develop Generative AI Applications: Get Started | Build RAG Applications: Get Started | Vector Databases for RAG: An Introduction | Advanced RAG with Vector Databases and Retrievers | Build Multimodal Generative AI Applications | Fundamentals of Building AI Agents | Agentic AI  with LangChain and LangGraph | Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI","IBM Skills Network Team, Wojciech 'Victor' Fulmyk, Faranak Heidari, Kunal Makwana, Karan Goswami, Hailey Quach, Joseph Santarcangelo, Martin Keen"
IBM AI Developer,4.6 out of 5 stars,71K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,"Application Deployment, Software Architecture, Machine Learning, Software Development Life Cycle, Flask (Web Framework), Data Import/Export, ChatGPT, Generative AI, Bootstrap (Front-End Framework), Software Development Tools, Interviewing Skills, Development Environment","Introduction to Software Engineering | Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Introduction to HTML, CSS, & JavaScript | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sina Nazeri, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Antonio Cangiano, Upkar Lidder, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan"
AI For Business,4.7 out of 5 stars,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-for-business-wharton,,"Governance, Artificial Intelligence, Machine Learning, Customer Data Management, Organizational Strategy, Generative AI, AI Personalization, Analytics, Business Strategy, Data Governance, Business Transformation, Data Ethics",AI Fundamentals for Non-Data Scientists | AI Applications in Marketing and Finance | AI Applications in People Management | AI Strategy and Governance,"Michael R Roberts, Kartik Hosanagar, Peter Cappelli, Kevin Werbach, Raghu Iyengar, Matthew Bidwell, Prasanna Tambe, Lynn Wu, University of Pennsylvania"
Machine Learning,4.9 out of 5 stars,34K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,,"Tensorflow, Artificial Intelligence, Machine Learning, Machine Learning Methods, Unsupervised Learning, Random Forest Algorithm, Reinforcement Learning, Applied Machine Learning, Jupyter, Feature Engineering, Predictive Modeling, Deep Learning","Supervised Machine Learning: Regression and Classification | Advanced Learning Algorithms | Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng, Geoff Ladwig, Aarti Bagul, Eddy Shyu, Stanford University"
Human-Centered Artificial Intelligence,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/hcc-6600-human-centered-ai,6 modules,"Algorithms, Artificial Neural Networks, Reinforcement Learning, Human Factors, Data Ethics, Ethical Standards And Conduct, Generative AI, Machine Learning Algorithms, Artificial Intelligence, Human Centered Design, Human Computer Interaction, Qualitative Research, Research Methodologies, Machine Learning",Module 1: Human-Centered Computing - Designing for People | Module 2: Artificial Intelligence | Module 3: Introduction to Human-Centered AI & Research Methods in HCAI | Module 4: Collective Intelligence and Hybrid Intelligence | Module 5: Algorithmic Bias & AI Fairness | Module 6: AI Alignment & Ethics,"Carlos Toxtli Hernandez, Clemson University"
