課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"Programming Principles, Data Analysis, Restful API, File Management, Data Manipulation, Data Import/Export, Pandas (Python Package), Object Oriented Programming (OOP), Python Programming, Computer Programming, Application Programming Interface (API), NumPy, Web Scraping, Jupyter, Data Structures",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo
IBM Data Science,4.6 out of 5 stars,144K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Matplotlib, Jupyter, Data Wrangling, Generative AI, Professional Networking, SQL, Data Visualization, Plotly, Supervised Learning, Interactive Data Visualization, Dashboard, Exploratory Data Analysis","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman"
What is Data Science?,4.7 out of 5 stars,76K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/what-is-datascience,4 modules,"Data Science, Data Mining, Artificial Intelligence, Deep Learning, Data-Driven Decision-Making, Big Data, Digital Transformation, Data Literacy, Machine Learning, Data Analysis, Cloud Computing",Defining Data Science and What Data Scientists Do | Data Science Topics | Applications and Careers in Data Science | Data literacy for Data Science (Optional),"Rav Ahuja, Alex Aklson"
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"SQL, Data Analysis, Transaction Processing, Stored Procedure, Pandas (Python Package), Databases, Query Languages, Data Manipulation, Jupyter, Relational Databases, Python Programming",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan"
Foundations of Data Science,4.7 out of 5 stars,3.2K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/foundations-of-data-science,5 modules,"Data Ethics, Workflow Management, Project Management, Business, Business Workflow Analysis, Analytical Skills, Data Analysis, Data Storytelling, Project Design, Data-Driven Decision-Making, Communication, Machine Learning, Data Science, Stakeholder Communications",Introduction to data science concepts | The impact of data today | Your career as a data professional | Data applications and workflow | Course 1 end-of-course project,
Data Science,4.5 out of 5 stars,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/jhu-data-science,,"R Programming, Shiny (R Package), Statistical Hypothesis Testing, Statistical Analysis, Machine Learning Algorithms, GitHub, Data Wrangling, Leaflet (Software), Data Visualization, Plotly, Data Cleansing, Exploratory Data Analysis",The Data Scientistâs Toolbox | R Programming | Getting and Cleaning Data | Exploratory Data Analysis | Reproducible Research | Statistical Inference | Regression Models | Practical Machine Learning | Developing Data Products | Data Science Capstone,"Roger D. Peng, PhD, Brian Caffo, PhD, Jeff Leek, PhD, Johns Hopkins University"
Python Project for Data Science,4.5 out of 5 stars,4.7K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-project-for-data-science,1 module,"Data Visualization Software, Python Programming, Web Scraping, Data Collection, Data Analysis, Pandas (Python Package), Data Manipulation, Matplotlib, Data Processing, Dashboard, Data Science, Jupyter",Crowdsourcing Short squeeze Dashboard,"Azim Hirjani, Joseph Santarcangelo"
Applied Data Science with Python,4.5 out of 5 stars,34K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-python,,"Applied Machine Learning, Matplotlib, Graph Theory, Scientific Visualization, Text Mining, Network Analysis, Network Model, Jupyter, Visualization (Computer Graphics), Data Visualization, NumPy, Natural Language Processing","Introduction to Data Science in Python | Applied Plotting, Charting & Data Representation in Python | Applied Machine Learning in Python | Applied Text Mining in Python | Applied Social Network Analysis in Python","Christopher Brooks, Kevyn Collins-Thompson, Daniel Romero, V. G. Vinod Vydiswaran, University of Michigan"
Introduction to Data Science,4.6 out of 5 stars,99K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-data-science,,"Data Analysis Software, Jupyter, GitHub, Query Languages, Cloud Computing, Big Data, SQL, Data Cleansing, Computer Programming Tools, Python Programming, Data Literacy, Peer Review",What is Data Science? | Tools for Data Science | Data Science Methodology | Databases and SQL for Data Science with Python,"Romeo Kienzler, Polong Lin, Alex Aklson, Rav Ahuja, Hima Vasudevan, Aije Egwaikhide, Svetlana Levitan"
SQL for Data Science,4.6 out of 5 stars,17K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/sql-for-data-science,4 modules,"Data Analysis, Query Languages, Data Science, Data Manipulation, Relational Databases, Database Design, Data Quality, Data Cleansing, Data Modeling, Data Governance, SQL","Getting Started and Selecting & Retrieving Data with SQL | Filtering, Sorting, and Calculating Data with SQL | Subqueries and Joins in SQL | Modifying and Analyzing Data with SQL","Sadie St. Lawrence, University of California, Davis"
