課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Business and Financial Modeling,4.5 out of 5 stars,11K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/wharton-business-financial-modeling,,"Probability Distribution, Financial Modeling, Risk Modeling, Strategic Decision-Making, Investment Management, Presentations, Statistical Modeling, Decision Making, Data Visualization, Microsoft PowerPoint, Risk Management, Spreadsheet Software",Fundamentals of Quantitative Modeling | Introduction to Spreadsheets and Models | Modeling Risk and Realities | Decision-Making and Scenarios | Wharton Business and Financial Modeling Capstone,"Sergei Savin, Senthil Veeraraghavan, Richard Waterman, Richard Lambert, Robert W. Holthausen, Don Huesman, University of Pennsylvania"
Discounted Cash Flow Modeling,4.3 out of 5 stars,757 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/discounted-cash-flow-modeling,,"Equities, Finance, Financial Analysis, Accounting, Financial Forecasting, Financial Modeling, Cash Flows, Capital Markets, Business Valuation, Investment Banking",,"Bekhruzbek Ochilov, MCSI, PAGRC, Coursera Project Network"
Financial Markets,4.8 out of 5 stars,31K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/financial-markets-global,7 modules,"Corporate Finance, Capital Markets, Business Risk Management, Banking, Underwriting, Risk Management, Securities (Finance), Insurance, Enterprise Risk Management (ERM), Governance, Investments, Financial Regulation, Market Dynamics, Derivatives, Finance, Behavioral Economics, Investment Banking, Financial Services, Financial Market, Financial Policy",Module 1 | Module 2 | Module 3 | Module 4 | Module 5 | Module 6 | MODULE 7,"Robert Shiller, Yale University"
Finance & Quantitative Modeling for Analysts,4.5 out of 5 stars,17K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,,"Capital Budgeting, Predictive Analytics, Financial Modeling, Return On Investment, Corporate Finance, Statistical Modeling, Cash Flows, Financial Planning, Business Mathematics, Financial Reporting, Spreadsheet Software, Regression Analysis",Fundamentals of Quantitative Modeling | Introduction to Spreadsheets and Models | Financial Acumen for Non-Financial Managers | Introduction to Corporate Finance,"Michael R Roberts, Christopher D. Ittner, Richard Waterman, Richard Lambert, Don Huesman, University of Pennsylvania"
Fundamentals of Quantitative Modeling,4.6 out of 5 stars,9.2K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-quantitative-modeling,4 modules,"Business Modeling, Simulation and Simulation Software, Regression Analysis, Statistics, Risk Management, Process Optimization, Probability Distribution, Predictive Analytics, Probability, Markov Model, Statistical Modeling, Forecasting, Financial Modeling, Mathematical Modeling, Business Mathematics",Module 1: Introduction to Models | Module 2: Linear Models and Optimization | Module 3: Probabilistic Models | Module 4: Regression Models,"Richard Waterman, University of Pennsylvania"
Fundamentals of Financial Analysis,4.2 out of 5 stars,49 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-financial-analysis,3 modules,"Financial Statements, Financial Reporting, Investments, Accounting, Balance Sheet, Income Statement, Cash Flows, Asset Management, Financial Statement Analysis, Return On Investment, Financial Analysis",Section 1: Getting familiar with the fundamentals | Section 2: Deeper dive into the financial statements | Section 3: Looking at value of money,"Tansy Rothwell, London Business School"
Real Estate Financial Modeling,4.5 out of 5 stars,50 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/real-estate-financial-modeling,1 module,"Property and Real Estate, Investments, Financial Forecasting, Return On Investment, Risk Analysis, Investment Management, Financial Modeling, Financial Analysis, Risk Management, Commercial Real Estate, Cash Flow Forecasting, Forecasting, Real Estate",Real Estate Financial Modeling,"Manish Gupta, Coursera Instructor Network"
Investment Risk Management,4.4 out of 5 stars,2K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/investment-risk-management,,"Financial Management, Risk Analysis, Statistics, Financial Market, Financial Analysis, Investment Management, Investments, Return On Investment, Portfolio Management, Risk Management",,"Bekhruzbek Ochilov, MCSI, PAGRC, Coursera Project Network"
Financial Engineering and Risk Management,4.6 out of 5 stars,379 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financialengineering,,"Futures Exchange, Financial Modeling, Risk Modeling, Market Liquidity, Derivatives, Investment Management, Applied Mathematics, Statistical Methods, Financial Market, Capital Markets, Mortgage Loans, Actuarial Science",Introduction to Financial Engineering and Risk Management | Term-Structure and Credit Derivatives | Optimization Methods in Asset Management | Advanced Topics in Derivative Pricing | Computational Methods in Pricing and Model Calibration,"Martin Haugh, Garud Iyengar, Ali Hirsa, Columbia University"
Business Analytics with Excel: Elementary to Advanced,4.8 out of 5 stars,3.8K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-excel,6 modules,"Linear Algebra, Transportation Operations, Risk Modeling, Process Optimization, Operations Research, Resource Allocation, Financial Analysis, Regression Analysis, Microsoft Excel, Statistical Methods, Business Analytics, Mathematical Modeling, Analysis, Data Modeling, Statistical Analysis, Business Process Modeling, Risk Analysis, Complex Problem Solving, Predictive Analytics, Business Modeling",Introduction to Excel: Basics and Best Practices | What-If Analysis in Excel | Decision Analysis through Regression and NPV | Linear Programming | Transportation and Assignment Problems | Integer Programming and Nonlinear Programming,"Joseph W. Cutrone, PhD, Johns Hopkins University"
