課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Machine Learning,4.9 out of 5 stars,34K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,,"Decision Tree Learning, Applied Machine Learning, Machine Learning Algorithms, Reinforcement Learning, Random Forest Algorithm, NumPy, Unsupervised Learning, Supervised Learning, Classification And Regression Tree (CART), Feature Engineering, Jupyter, Machine Learning","Supervised Machine Learning: Regression and Classification | Advanced Learning Algorithms | Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng, Geoff Ladwig, Aarti Bagul, Eddy Shyu, Stanford University"
Machine Learning with Python,4.7 out of 5 stars,17K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-with-python,6 modules,"Statistical Modeling, Predictive Modeling, Applied Machine Learning, Decision Tree Learning, Scikit Learn (Machine Learning Library), Feature Engineering, Dimensionality Reduction, Supervised Learning, Classification And Regression Tree (CART), Unsupervised Learning, Regression Analysis, Machine Learning",Introduction to Machine Learning | Linear and Logistic Regression | Building Supervised Learning Models | Building Unsupervised Learning Models | Evaluating and Validating Machine Learning Models | Final Project and Exam,"Joseph Santarcangelo, Jeff Grossman"
IBM Machine Learning,4.6 out of 5 stars,3.2K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-machine-learning,,"Applied Machine Learning, Machine Learning Algorithms, Reinforcement Learning, Unsupervised Learning, Dimensionality Reduction, Supervised Learning, Data Science, Feature Engineering, Generative AI, Machine Learning, Statistical Inference, Exploratory Data Analysis",Exploratory Data Analysis for Machine Learning | Supervised Machine Learning: Regression | Supervised Machine Learning: Classification | Unsupervised Machine Learning | Deep Learning and Reinforcement Learning | Machine Learning Capstone,"Kopal Garg, Xintong Li, Artem Arutyunov, Joseph Santarcangelo, Mark J Grover, Miguel Maldonado, Yan Luo, Svitlana (Lana) Kramar"
Machine Learning,4.6 out of 5 stars,16K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/machine-learning,,"Applied Machine Learning, Text Mining, Machine Learning Algorithms, Unsupervised Learning, Statistical Machine Learning, Supervised Learning, Data Mining, Classification And Regression Tree (CART), Feature Engineering, Image Analysis, Machine Learning, Statistical Modeling",Machine Learning Foundations: A Case Study Approach | Machine Learning: Regression | Machine Learning: Classification | Machine Learning: Clustering & Retrieval,"Emily Fox, Carlos Guestrin, University of Washington"
Mathematics for Machine Learning and Data Science,4.6 out of 5 stars,2.8K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,,"Mathematical Modeling, Calculus, NumPy, Dimensionality Reduction, Statistical Machine Learning, Jupyter, Sampling (Statistics), Machine Learning, Machine Learning Methods, A/B Testing, Probability & Statistics, Statistical Inference",Linear Algebra for Machine Learning and Data Science | Calculus for Machine Learning and Data Science | Probability & Statistics for Machine Learning & Data Science,Luis Serrano
Mathematics for Machine Learning,4.6 out of 5 stars,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mathematics-machine-learning,,"Statistics, Calculus, Derivatives, Machine Learning Algorithms, NumPy, Dimensionality Reduction, Data Science, Feature Engineering, Jupyter, Machine Learning, Probability & Statistics, Applied Mathematics",Mathematics for Machine Learning: Linear Algebra | Mathematics for Machine Learning: Multivariate Calculus | Mathematics for Machine Learning: PCA,"David Dye, Samuel J. Cooper, Marc Peter Deisenroth, A.Â Freddie Page, Imperial College London"
Supervised Machine Learning: Regression and Classification,4.9 out of 5 stars,29K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning,3 modules,"NumPy, Regression Analysis, Machine Learning, Unsupervised Learning, Classification And Regression Tree (CART), Jupyter, Scikit Learn (Machine Learning Library), Statistical Modeling, Artificial Intelligence, Python Programming, Predictive Modeling, Supervised Learning, Feature Engineering",Week 1: Introduction to Machine Learning | Week 2: Regression with multiple input variables | Week 3: Classification,"Andrew Ng, Aarti Bagul, Geoff Ladwig, Eddy Shyu, Stanford University"
Fundamentals of Machine Learning and Artificial Intelligence,4.5 out of 5 stars,678 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,1 module,"Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Machine Learning, Digital Transformation, Artificial Intelligence, Deep Learning, Applied Machine Learning, AWS SageMaker, Amazon Web Services",Fundamentals of Machine Learning and Artificial Intelligence,"AWS Instructor, Amazon Web Services"
Introduction to Machine Learning,4.7 out of 5 stars,3.7K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-duke,6 modules,"Machine Learning, Supervised Learning, Image Analysis, Unsupervised Learning, Natural Language Processing, PyTorch (Machine Learning Library), Computer Vision, Applied Machine Learning, Python Programming, Artificial Neural Networks, Medical Imaging, Deep Learning, Reinforcement Learning",Simple Introduction to Machine Learning | Basics of Model Learning | Image Analysis with Convolutional Neural Networks | Recurrent Neural Networks for Natural Language Processing | The Transformer Network for Natural Language Processing | Introduction to Reinforcement Learning,"Lawrence Carin, David Carlson, Timothy Dunn, Kevin Liang, Duke University"
Machine Learning Basics,4.3 out of 5 stars,77 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-basics,4 modules,"Applied Machine Learning, Data Analysis, Probability, Python Programming, Machine Learning Algorithms, Machine Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Linear Algebra, Supervised Learning, Statistical Methods",The basic concepts of machine learning | The k-Nearest Neighbors | Linear Regression | Logistic Regression,"Jaekwang KIM, Sungkyunkwan University"
