課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Getting Started with Microsoft Excel,4.6 out of 5 stars,12K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-microsoft-excel,,"Spreadsheet Software, Microsoft 365, Productivity Software, Microsoft Excel, Excel Formulas",,"Summer Scaggs, Coursera Project Network"
Microsoft Excel,4.2 out of 5 stars,116 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-excel-skills,,"Pivot Tables And Charts, Data Quality, Prompt Engineering, Excel Formulas, Data Storytelling, Forecasting, Data Presentation, Excel Macros, Dashboard, Predictive Modeling, Data Visualization Software, Microsoft Copilot",Excel and Copilot Fundamentals | Data Cleaning & Processing with Copilot in Excel | Advanced Data Analysis & Visualization with Copilot in Excel | Automation & Advanced Techniques with Copilot in Excel,
Work Smarter with Microsoft Excel,4.7 out of 5 stars,2.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-excel-work-smarter,5 modules,"Data Management, Spreadsheet Software, Microsoft 365, Data Import/Export, File Management, Productivity Software, Data Visualization, Microsoft Excel, Data Analysis Expressions (DAX), Excel Formulas",Getting started with Excel | Working with functions | Organizing and visualizing data | Advanced Excel features | Honors: Hands-on practice using Microsoft Excel,
Excel Basics for Data Analysis,4.8 out of 5 stars,9.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,5 modules,"Pivot Tables And Charts, Google Sheets, Microsoft Excel, Spreadsheet Software, Excel Formulas, Data Cleansing, Data Import/Export, Data Science, Information Privacy, Data Quality, Data Wrangling, Data Visualization Software, Data Analysis, Data Manipulation",Introduction to Data Analysis Using Spreadsheets | Getting Started with Using Excel Spreadsheets | Cleaning & Wrangling Data Using Spreadsheets | Analyzing Data Using Spreadsheets | Final Project,"Sandip Saha Joy, Steve Ryan"
Using Basic Formulas and Functions in Microsoft Excel,4.6 out of 5 stars,2.3K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/using-basic-formulas-functions-microsoft-excel,,"Spreadsheet Software, Microsoft 365, Gross Profit, Data Analysis, Business Mathematics, Microsoft Excel, Excel Formulas",,"Paula Del Rey, Coursera Project Network"
Introduction to Data Analysis using Microsoft Excel,4.7 out of 5 stars,4.1K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel,,"Data Analysis, Data Manipulation, Pivot Tables And Charts, Data Mining, Spreadsheet Software, Excel Formulas, Microsoft Excel",,"Paula Del Rey, Coursera Project Network"
Microsoft 365 Fundamentals,4.7 out of 5 stars,5.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-365-fundamentals,,"Collaborative Software, Microsoft Word, Multimedia, Data Import/Export, Microsoft PowerPoint, Technical Documentation, Presentations, Excel Formulas, Document Management, Editing, Writing, Proofreading",Work Smarter with Microsoft Word | Work Smarter with Microsoft Excel | Work Smarter with Microsoft PowerPoint,
Excel Skills for Business,4.9 out of 5 stars,62K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel,,"Consolidation, Excel Formulas, Excel Macros, Dashboard, Financial Forecasting, Data Integrity, Business Intelligence Software, Data Modeling, Workflow Management, Productivity Software, Data Validation, Business Reporting",Excel Skills for Business: Essentials | Excel Skills for Business: Intermediate I | Excel Skills for Business: Intermediate II | Excel Skills for Business: Advanced,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Professor Yvonne Breyer, Macquarie University"
Competencias digitales de ofimática: Microsoft Excel,4.8 out of 5 stars,1.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/competencias-digitales-ofimatica-excel,5 modules,"Productivity Software, Microsoft Excel, Data Entry, Excel Formulas, Data Management, Data Visualization, Microsoft 365, Spreadsheet Software",PRESENTACIÃN Y DOCUMENTACIÃN | MICROSOFT EXCEL (Uso de la aplicaciÃ³n y operaciones bÃ¡sicas) | MICROSOFT EXCEL (Dar formato) | MICROSOFT EXCEL (CÃ¡lculos) | MICROSOFT EXCEL (GrÃ¡ficos e ImpresiÃ³n),"Miquel Mazuque Periz, Universitat AutÃ²noma de Barcelona"
Business Analytics with Excel: Elementary to Advanced,4.8 out of 5 stars,3.8K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-excel,6 modules,"Data Modeling, Transportation Operations, Mathematical Modeling, Process Optimization, Operations Research, Business Analytics, Analysis, Linear Algebra, Resource Allocation, Complex Problem Solving, Statistical Methods, Risk Analysis, Financial Analysis, Business Process Modeling, Predictive Analytics, Statistical Analysis, Business Modeling, Risk Modeling, Microsoft Excel, Regression Analysis",Introduction to Excel: Basics and Best Practices | What-If Analysis in Excel | Decision Analysis through Regression and NPV | Linear Programming | Transportation and Assignment Problems | Integer Programming and Nonlinear Programming,"Joseph W. Cutrone, PhD, Johns Hopkins University"
