課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Microsoft Power BI Data Analyst,4.6 out of 5 stars,7.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,,"SQL, Excel Formulas, Data Storytelling, Data Presentation, Dashboard, Star Schema, Data Visualization Software, Microsoft Copilot, Data Modeling, Data Transformation, Interactive Data Visualization, Data Validation","Preparing  Data for Analysis with Microsoft Excel | Harnessing the Power of Data with Power BI | Extract, Transform and Load Data in Power BI | Data Modeling in Power BI | Data Analysis and Visualization with Power BI | Creative Designing in Power BI | Deploy and Maintain Power BI Assets and Capstone project | Microsoft PL-300 Exam Preparation and Practice",
Microsoft Power BI and Power Platform for Productivity,4.4 out of 5 stars,529 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-power-bi-and-power-platform-productivity,,"Excel Formulas, Data Storytelling, Data Presentation, Business Intelligence, Dashboard, Star Schema, Microsoft Power Platform, Microsoft Copilot, Data Modeling, Data Transformation, Microsoft Excel, Data Literacy","Data for Analysis with Microsoft Excel | Unlock the Power of Data with Power BI | Data Extract, Transform, and Load in Power BI | Modeling Data in Power BI | Analysis and Visualization of Data with Power BI | Creative Designing in Power BI | Copilot for Power BI | Introduction to Microsoft Power Platform | Use Power Platform for Custom & Automated Solutions | Power Virtual Agents",
From Excel to Power BI,4.5 out of 5 stars,1.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/from-excel-to-power-bi,1 module,"Microsoft Excel, Interactive Data Visualization, Business Intelligence, Data Presentation, Data Import/Export, Data Analysis, Data Analysis Expressions (DAX), Business Analytics, Dashboard, Power BI, Data-Driven Decision-Making, Microsoft Power Platform, Data Visualization Software, Data Modeling, Data Sharing, Data Visualization, Data Manipulation",From Excel to Power BI,"Keith Gibson, Knowledge Accelerators"
Data Analysis and Visualization with Power BI,4.7 out of 5 stars,782 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi,5 modules,"Data Storytelling, Statistical Reporting, Web Content Accessibility Guidelines, Data Visualization, Data Presentation, Advanced Analytics, Business Intelligence, Power BI, Interactive Data Visualization, Dashboard, Data Analysis, Data Visualization Software",Creating Reports | Navigation and Accessibility | Bringing Data to the User | Identifying Patterns and Trends | Final project and assessment: Data Analysis and Visualization with Power BI,
Microsoft Data Visualization,4.7 out of 5 stars,80 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-data-visualization,,"Database Design, Correlation Analysis, Data Governance, Data Storytelling, Data Presentation, Business Intelligence, Dashboard, Data Visualization Software, Data Architecture, Data Modeling, Data Transformation, Interactive Data Visualization",Data Visualization Fundamentals | Data Preparation and Management | Data Modeling and Architecture | Visualization for Data Analysis with Power BI | Building Powerful Reports and Dashboards in Power BI,
Power BI for Beginners: Build your First Report,4.5 out of 5 stars,79 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/powerbi-for-beginners-build-your-first-report,,"Data Visualization, Dashboard, Report Writing, Data Manipulation, Data Cleansing, Business Reporting, Data Import/Export, Data Modeling, Data Presentation, Data Storytelling, Data Visualization Software, Data Transformation, Power BI, Business Intelligence, Interactive Data Visualization, Microsoft Power Platform",,"Hussein ElGhoul, Coursera Project Network"
Advanced Microsoft Power BI,4.4 out of 5 stars,71 reviews,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-microsoft-power-bi,1 module,"Predictive Analytics, Power BI, Data Integration, Data Analysis, Data Transformation, Dashboard, Key Performance Indicators (KPIs), Microsoft Power Platform, Interactive Data Visualization, Microsoft Excel, Data Cleansing, Business Intelligence, Data Modeling, Data Visualization Software",Advanced features in Power BI,
Microsoft Business Analyst,4.6 out of 5 stars,1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-business-analyst,,"Business Process Modeling, Software Development Life Cycle, Pivot Tables And Charts, Microsoft Visio, Requirements Elicitation, Excel Formulas, Requirements Analysis, Microsoft Power Platform, Data Modeling, Process Flow Diagrams, Microsoft Excel, Quality Management",Business Analysis Fundamentals | Data for Business Analysts Using Microsoft Excel | Data and Business Process Modeling with Microsoft Visio | Requirements Gathering in Business Analysis | Power Platform in Business Analysis | Project Delivery in Business Analysis and Capstone Project,
Power BI Fundamentals,4.9 out of 5 stars,127 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/power-bi-fundamentals,11 modules,"Data Analysis Expressions (DAX), Data Visualization Software, Data Analysis, Dashboard, Power BI, Data Import/Export, Data Sharing, Business Reporting, Key Performance Indicators (KPIs), Interactive Data Visualization, Data Transformation, Business Intelligence, Data Modeling, Sales, Data Storytelling",Getting Started | Power Query | Data Modeling & Basic DAX Measures | Week 1 Challenge | Sales - Visuals & DAX | Cost - Visuals & DAX | User Experience | Week 2 Challenge | Sharing | Course Conclusion | Week 3 Challenge,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Data Storytelling with Power BI,4.6 out of 5 stars,143 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-storytelling-with-power-bi,5 modules,"Data Import/Export, Data Visualization Software, Dashboard, Power BI, Business Intelligence, Data Analysis Expressions (DAX), Data Modeling, Interactive Data Visualization, Data Cleansing, Performance Reporting, Data Manipulation, Data Storytelling, Report Writing, Microsoft Excel, Data Presentation, Data Transformation",Data Modeling and Transformation | Data Analysis Expression (DAX) | Data Visualization | Power BI Service | Course Wrap Up and Assessment,
