課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"Relational Databases, Transaction Processing, Jupyter, Query Languages, Python Programming, Databases, Stored Procedure, Data Analysis, SQL, Data Manipulation, Pandas (Python Package)",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan"
SQL: A Practical Introduction for Querying Databases,4.7 out of 5 stars,609 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases,5 modules,"Database Systems, SQL, Database Management, Data Analysis, Transaction Processing, IBM DB2, Microsoft SQL Servers, Relational Databases, Databases, Query Languages, MySQL, Stored Procedure, Data Manipulation","Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Working with real-world data sets, Final Project & Exam | Advanced SQL for Data Engineers",Rav Ahuja
SQL for Data Science,4.6 out of 5 stars,17K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/sql-for-data-science,4 modules,"Data Quality, Data Modeling, Relational Databases, Query Languages, SQL, Data Manipulation, Data Governance, Data Analysis, Data Cleansing, Data Science, Database Design","Getting Started and Selecting & Retrieving Data with SQL | Filtering, Sorting, and Calculating Data with SQL | Subqueries and Joins in SQL | Modifying and Analyzing Data with SQL","Sadie St. Lawrence, University of California, Davis"
Introduction to Structured Query Language (SQL),4.7 out of 5 stars,5.5K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/intro-sql,4 modules,"MySQL, Databases, Relational Databases, SQL, PHP (Scripting Language), Development Environment, Database Design, Data Modeling, Software Installation",Installing PHP and SQL | Introduction to Structured Query Language (SQL) | Database Design | Many-To-Many,"Charles Russell Severance, University of Michigan"
Learn SQL Basics for Data Science,4.6 out of 5 stars,17K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/learn-sql-basics-data-science,,"Database Design, SQL, Databricks, Data Governance, Data Quality, Presentations, Distributed Computing, Data Storytelling, Exploratory Data Analysis, Data Modeling, Data Lakes, Peer Review",SQL for Data Science | SQL Problem Solving | SQL for Data Science Capstone Project,"Don Noxon, Conor Murphy, Katrina Glaeser Poole, Brooke Wenig, Sadie St. Lawrence, University of California, Davis"
SQL Fundamentals for Data Analysts,4.8 out of 5 stars,38 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-fundamentals-for-data-analysts,7 modules,"Data Manipulation, Data Analysis, Data Warehousing, Business Intelligence, Data Transformation, SQL, Databases, Relational Databases, Query Languages",Getting Started | Basic SQL Queries | Manipulating Values with Functions | SQL Theory | Working with Multiple Tables | Advanced Functions and Queries | Qualified Assessment,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Google Data Analytics,4.8 out of 5 stars,170K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Interviewing Skills, Applicant Tracking Systems, Tableau Software, Rmarkdown, Sampling (Statistics), Presentations, Data Storytelling, Data Presentation, Stakeholder Communications, Data Visualization Software, Interactive Data Visualization, Data Validation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",
Understanding Basic SQL Syntax,4.7 out of 5 stars,308 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/basic-sql-syntax,,"SQL, Data Manipulation, Query Languages, Data Access, Relational Databases",,"Judy Richardson, Coursera Project Network"
Tools of the Trade: Linux and SQL,4.8 out of 5 stars,5.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/linux-and-sql,4 modules,"Unix, Linux, Bash (Scripting Language), Linux Commands, Command-Line Interface, Operating Systems, Database Management, SQL, Authentications, Relational Databases, File Systems, Authorization (Computing), User Accounts",Introduction to operating systems | The Linux operating system | Linux commands in the Bash shell | Databases and SQL,
Oracle SQL Databases,4.6 out of 5 stars,860 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/oracle-sql-databases,,"Database Design, SQL, Database Management Systems, Oracle Databases, Database Architecture and Administration, Databases, Oracle SQL Developer, Database Theory, Database Software, Transaction Processing, Data Storage, Data Integrity",Oracle Database Foundations | Oracle Database Platform | Oracle SQL Basics | Oracle SQL Proficiency,Rafiq Wayani
