課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Prompt Engineering for ChatGPT,4.8 out of 5 stars,6.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,6 modules,"Large Language Modeling, Collaboration, Brainstorming, Ingenuity, Application Development, Prompt Engineering, Problem Solving, Artificial Intelligence, Productivity, Creative Thinking, ChatGPT, Generative AI",Course Introduction | Introduction to Prompts | Prompt Patterns I | Few-Shot Examples | Prompt Patterns II | Prompt Patterns III,"Dr. Jules White, Vanderbilt University"
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Prompt Engineering, IBM Cloud, Large Language Modeling, ChatGPT","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja"
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-excel,,"Pivot Tables And Charts, Artificial Intelligence, Productivity, Data Synthesis, Data Visualization, ChatGPT, Generative AI, Interactive Data Visualization, Excel Macros, Data Storytelling, Microsoft Excel, Data Integration","ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT + Excel: Master AI-driven Formulas & Visualizations | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University"
ChatGPT Advanced Data Analysis,4.8 out of 5 stars,803 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/chatgpt-advanced-data-analysis,5 modules,"File Management, Microsoft Excel, Data Presentation, Document Management, Prompt Engineering, Creativity, Automation, Information Management, ChatGPT, Generative AI, Artificial Intelligence, Problem Solving, Data Analysis","Introduction to ChatGPT Advanced Data Analysis | Introduction to ChatGPT Advanced Data Analysis Use Cases | Tackle the Right Problems: Appropriate Use of ChatGPT Advanced Data Analysis | Human and AI Process Planning in ChatGPT Advanced Data Analysis | Error Identification Techniques, Error Handling, and Techniques for Large Documents & Outputs","Dr. Jules White, Vanderbilt University"
ChatGPT - Usos y Estrategias,4.9 out of 5 stars,983 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chat-gpt,4 modules,"Productivity, Generative AI, Natural Language Processing, Innovation, Prompt Engineering, ChatGPT, Data Ethics, Critical Thinking, Artificial Intelligence, Ethical Standards And Conduct, Creativity","Tema 1. Historia y fundamentos de la Inteligencia Artificial, la esencia de ChatGPT | Tema 2. Conceptos clave para la utilizaciÃ³n efectiva de ChatGPT | Tema 3. Implementando ChatGPT responsablemente en la educaciÃ³n y el ambiente laboral | Tema 4. Consideraciones Ã©ticas, capacidades y limitaciones de ChatGPT","Olaf RomÃ¡n, Luis Fernando MorÃ¡n Mirabal, TecnolÃ³gico de Monterrey"
ChatGPT for Project Management - Leveraging AI for Success,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-project-management,,"Project Schedules, Artificial Intelligence, Productivity, ChatGPT, Generative AI, Project Implementation, Key Performance Indicators (KPIs), Taking Meeting Minutes, Project Management, Creative Thinking, Project Planning, Risk Analysis","ChatGPT for Project Management: Execution, Tracking, Success | Prompt Engineering for ChatGPT | ChatGPT for Project Management: Insight, Planning, & Success","Dr. Jules White, Vanderbilt University"
Gen AI Using Hugging Face Training,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gen-ai-using-hugging-face-training,1 module,"Large Language Modeling, Prompt Engineering, Applied Machine Learning, Generative AI, Text Mining, Natural Language Processing",Gen AI Using Hugging Face,Priyanka Mehta
ChatGPT: Master Free AI Tools to Supercharge Productivity,4.8 out of 5 stars,6.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,,"Travel Arrangements, Innovation, Scenario Testing, Artificial Intelligence, Marketing, Communication, Productivity, ChatGPT, Generative AI, AI Personalization, Brainstorming, Problem Solving",Prompt Engineering for ChatGPT | Advanced Prompt Engineering for Everyone | OpenAI GPTs: Creating Your Own Custom AI Assistants,"Dr. Jules White, Vanderbilt University"
Innovative Teaching with ChatGPT,4.8 out of 5 stars,548 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chatgpt-innovative-teaching,1 module,"AI Personalization, Game Design, ChatGPT, Interactive Design, Prompt Engineering, Student Engagement, Innovation, Creative Problem-Solving, Brainstorming, Education Software and Technology",Introduction,"Dr. Jules White, Vanderbilt University"
OpenAI GPTs: Creating Your Own Custom AI Assistants,4.8 out of 5 stars,446 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/openai-custom-gpts,3 modules,"Generative AI, Innovation, Travel Arrangements, Prompt Engineering, ChatGPT, Artificial Intelligence, AI Personalization, Expense Management, Scenario Testing, Personalized Service, Productivity Software",Custom GPTs Fundamentals | THINK: Create Great GPTs (Part I) | THINK: Create Great GPTs (Part II),"Dr. Jules White, Vanderbilt University"
