課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Computer Science: Programming with a Purpose,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-programming-java,10 modules,"Object Oriented Programming (OOP), Computer Science, Java Programming, Performance Tuning, Debugging, Data Structures, Computational Thinking, Program Development, Java, Computer Programming, Animations, Algorithms, Programming Principles",BASIC PROGRAMMING CONCEPTS | CONDITIONALS AND LOOPS | ARRAYS | INPUT AND OUTPUT | FUNCTIONS AND LIBRARIES | RECURSION | PERFORMANCE | ABSTRACT DATA TYPES | CREATING DATA TYPES | PROGRAMMING LANGUAGES,"Robert Sedgewick, Kevin Wayne, Princeton University"
Introduction to Computer Science and Programming,4.2 out of 5 stars,1.5K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/introduction-computer-science-programming,,"Javascript, Human Computer Interaction, Cybersecurity, Arithmetic, Debugging, General Mathematics, Development Environment, Computer Networking, Web Applications, Computer Graphics, Hardware Architecture, Theoretical Computer Science",Introduction to Computer Programming | How Computers Work | Mathematics for Computer Science,"Dr Simon Katan, Prof Marco Gillies, Dr Matthew Yee-King, Dr Edward Anstead, Omar Karakchi, University of London, Goldsmiths, University of London"
Fundamentals of Computing,4.8 out of 5 stars,4.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/computer-fundamentals,,"Combinatorics, Graph Theory, Programming Principles, Interactive Design, Mathematical Software, Bioinformatics, Event-Driven Programming, Big Data, Python Programming, Theoretical Computer Science, Algorithms, Program Development",An Introduction to Interactive Programming in Python (Part 1) | An Introduction to Interactive Programming in Python (Part 2) | Principles of Computing (Part 1) | Principles of Computing (Part 2) | Algorithmic Thinking (Part 1) | Algorithmic Thinking (Part 2) | The Fundamentals of Computing Capstone Exam,"Luay Nakhleh, Joe Warren, John Greiner, Scott Rixner, Stephen Wong, Rice University"
Accelerated Computer Science Fundamentals,4.7 out of 5 stars,3.5K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/cs-fundamentals,,"Software Engineering, Graph Theory, Object Oriented Design, Database Systems, C++ (Programming Language), Debugging, Development Environment, Theoretical Computer Science, Algorithms, Program Development, Computer Programming, Database Theory",Object-Oriented Data Structures in C++ | Ordered Data Structures | Unordered Data Structures,"Wade Fagen-Ulmschneider, University of Illinois Urbana-Champaign"
"Computer Science:  Algorithms, Theory, and Machines",4.7 out of 5 stars,708 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-algorithms-theory-machines,11 modules,"Java Programming, Computer Architecture, Computational Thinking, Theoretical Computer Science, Computer Hardware, Algorithms, Computational Logic, Computer Science, Data Structures, Programming Principles",INFORMATION ABOUT LECTURES 1â10 | SORTING AND SEARCHING | STACKS AND QUEUES | SYMBOL TABLES | INTRODUCTION TO THE THEORY OF COMPUTING | TURING MACHINES | INTRACTABILITY | A COMPUTING MACHINE | VON NEUMANN MACHINES | COMBINATIONAL CIRCUITS | CENTRAL PROCESSING UNIT,"Robert Sedgewick, Kevin Wayne, Princeton University"
Bachelor of Science in Computer Science,N/A,N/A,Degree · 1 - 4 Years,https://www.coursera.org/degrees/bachelor-of-science-computer-science-london,,,,
Computational Thinking for Problem Solving,4.7 out of 5 stars,1.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/computational-thinking-problem-solving,4 modules,"Computational Thinking, Algorithms, Analysis, Pseudocode, Data Structures, Debugging, Python Programming, Computer Programming, Problem Solving, Computer Hardware",Pillars of Computational Thinking | Expressing and Analyzing Algorithms | Fundamental Operations of a Modern Computer | Applied Computational Thinking Using Python,"Susan Davidson, University of Pennsylvania"
Introduction to Software Engineering,4.7 out of 5 stars,3.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-software-engineering,6 modules,"Software Design Patterns, Software Development, Python Programming, Software Development Life Cycle, Development Environment, Programming Principles, Software Development Methodologies, Software Architecture, Software Engineering, Software Engineering Tools, Engineering Software, Computer Programming, Systems Architecture, Software Documentation, Application Development, Program Development, Object Oriented Programming (OOP), Agile Methodology, Unified Modeling Language, Software Design","The Software Development Lifecycle | Introduction to Software Development | Basics of Programming | Software Architecture, Design, and Patterns | Job Opportunities and Skillsets in Software Engineering | Final Quiz and Final Project","Rav Ahuja, Bethany Hudnutt"
Learn to Program: The Fundamentals,4.7 out of 5 stars,6.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-to-program,7 modules,"Software Documentation, Debugging, Data Structures, Python Programming, Programming Principles, Program Development, Computer Programming, Integrated Development Environments, File Management","Python, Variables, and Functions | Strings and Designing Functions | Booleans, Import, Namespaces, and if Statements | For Loops and Fancy String Manipulation | While Loops, Lists, and Mutability | For Loops Over Indices, Parallel and Nested Lists and Strings, and Files | Tuples and Dictionaries","Jennifer Campbell, Paul Gries, University of Toronto"
Programming Fundamentals,4.7 out of 5 stars,6.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/programming-fundamentals,4 modules,"Debugging, Computer Programming, Algorithms, Computational Thinking, Pseudocode, Data Structures, Problem Solving, Programming Principles, Software Testing",Introduction | Reading Code | Types | Project,"Andrew D. Hilton, Genevieve M. Lipp, Anne Bracy, Duke University"
Algorithms,4.8 out of 5 stars,5.9K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/algorithms,,"Graph Theory, Design Strategies, Network Analysis, Network Model, Operations Research, Bioinformatics, Mathematical Theory & Analysis, Analysis, Theoretical Computer Science, Algorithms, Probability, Computational Thinking","Divide and Conquer, Sorting and Searching, and Randomized Algorithms | Graph Search, Shortest Paths, and Data Structures | Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming | Shortest Paths Revisited, NP-Complete Problems and What To Do About Them","Tim Roughgarden, Stanford University"
Google Cybersecurity,4.8 out of 5 stars,53K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cybersecurity,,"Intrusion Detection and Prevention, Computer Security Incident Management, Cyber Attacks, Vulnerability Assessments, Interviewing Skills, Bash (Scripting Language), Cybersecurity, SQL, Incident Response, Linux, Debugging, Vulnerability Management","Foundations of Cybersecurity | Play It Safe: Manage Security Risks | Connect and Protect: Networks and Network Security | Tools of the Trade: Linux and SQL | Assets, Threats, and Vulnerabilities | Sound the Alarm: Detection and Response | Automate Cybersecurity Tasks with Python | Put It to Work: Prepare for Cybersecurity Jobs | Accelerate Your Job Search with AI",
Coding for Everyone: C and C++,4.5 out of 5 stars,9.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/coding-for-everyone,,"Game Design, Graph Theory, File Systems, Artificial Intelligence, Programming Principles, Command-Line Interface, Software Design Patterns, Integrated Development Environments, C++ (Programming Language), Debugging, Algorithms, Program Development","C for Everyone: Programming Fundamentals | C for Everyone: Structured Programming | C++ For C Programmers, Part A | C++ For C Programmers, Part B","Ira Pohl, University of California, Santa Cruz"
Data Structures and Algorithms,4.6 out of 5 stars,17K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-structures-algorithms,,"Graph Theory, Software Testing, Programming Principles, Network Analysis, Network Model, Operations Research, Bioinformatics, Epidemiology, Debugging, Development Testing, Theoretical Computer Science, Algorithms",Algorithmic Toolbox | Data Structures | Algorithms on Graphs | Algorithms on Strings | Advanced Algorithms and Complexity | Genome Assembly Programming Challenge,"Michael Levin, Daniel M Kane, Pavel  Pevzner, Neil Rhodes, Alexander S. Kulikov, University of California San Diego"
Foundations of Computer Science,4.6 out of 5 stars,111 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/computer-science-foundations,5 modules,"Algorithms, Software Development, Analysis, Databases, Computer Hardware, Database Management, SQL, Computer Science, Computer Programming, Network Security, Automation, Debugging, Programming Principles, System Software, Network Protocols, Visual Basic (Programming Language), Computer Networking, Relational Databases, Cloud Computing, Computer Architecture","Specialization: Introduction to Computer Programming Visual Basic | Algorithms, History of Computing and Algorithm Efficiency | Computer Hardware and Organization | Computer Networks, Cloud Computing and Information Security | Systems Software, Databases and Automation",Aspen Olmsted
Introduction to Discrete Mathematics for Computer Science,4.5 out of 5 stars,3.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/discrete-mathematics,,"Combinatorics, Graph Theory, Logical Reasoning, Network Analysis, Cybersecurity, Computational Logic, Arithmetic, Key Management, Encryption, Python Programming, Cryptography, Theoretical Computer Science",Mathematical Thinking in Computer Science | Combinatorics and Probability | Introduction to Graph Theory | Number Theory and Cryptography | Delivery Problem,"Michael Levin, ÐÐ»Ð°Ð´Ð¸Ð¼Ð¸Ñ ÐÐ¾Ð´Ð¾Ð»ÑÑÐºÐ¸Ð¹, Alexander S. Kulikov, University of California San Diego"
Foundations of Data Structures and Algorithms,4.6 out of 5 stars,835 reviews,Advanced · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/boulder-data-structures-algorithms,,"Combinatorics, Graph Theory, Linear Algebra, Programming Principles, Design Strategies, Network Model, Applied Mathematics, Operations Research, Encryption, Python Programming, Cryptography, Theoretical Computer Science","Algorithms for Searching, Sorting, and Indexing | Trees and Graphs: Basics | Dynamic Programming, Greedy Algorithms | Approximation Algorithms and Linear Programming | Advanced Data Structures, RSA and Quantum Algorithms","Sriram Sankaranarayanan, University of Colorado Boulder"
Python for Everybody,4.8 out of 5 stars,278K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python,,"Database Design, Programming Principles, Data Collection, Database Management, Web Services, SQL, Data Visualization, Python Programming, Web Scraping, Restful API, Data Processing, Application Programming Interface (API)","Programming for Everybody (Getting Started with Python) | Python Data Structures | Using Python to Access Web Data | Using Databases with Python | Capstone: Retrieving, Processing, and Visualizing Data with Python","Charles Russell Severance, University of Michigan"
Computer Communications,4.6 out of 5 stars,3.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/computer-communications,,"Routing Protocols, System Programming, Network Architecture, Software-Defined Networking, Network Performance Management, Network Planning And Design, Digital Communications, Telecommunications, Wireless Networks, Computer Networking, OSI Models, Algorithms",Fundamentals of Network Communication | Peer-to-Peer Protocols and Local Area Networks | Packet Switching Networks and Algorithms | TCP/IP and Advanced Topics,"Xiaobo Zhou, University of Colorado System"
