課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Google Cybersecurity,4.8 out of 5 stars,53K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cybersecurity,,"Intrusion Detection and Prevention, Cyber Attacks, Computer Security Incident Management, Cybersecurity, Bash (Scripting Language), Network Security, Vulnerability Assessments, Hardening, Threat Management, Linux, Debugging, SQL","Foundations of Cybersecurity | Play It Safe: Manage Security Risks | Connect and Protect: Networks and Network Security | Tools of the Trade: Linux and SQL | Assets, Threats, and Vulnerabilities | Sound the Alarm: Detection and Response | Automate Cybersecurity Tasks with Python | Put It to Work: Prepare for Cybersecurity Jobs | Accelerate Your Job Search with AI",
Foundations of Cybersecurity,4.9 out of 5 stars,35K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/foundations-of-cybersecurity,4 modules,"Security Controls, Cyber Attacks, Data Ethics, Cyber Security Strategy, Information Assurance, Cybersecurity, Cyber Risk, Ethical Standards And Conduct, Security Information and Event Management (SIEM), Network Analysis, Incident Response, Security Management","Welcome to the exciting world of cybersecurity | The evolution of cybersecurity | Protect against threats, risks, and vulnerabilities | Cybersecurity tools and programming languages",
Cybersecurity for Everyone,4.7 out of 5 stars,3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-everyone,6 modules,"Security Awareness, Data Security, Security Management, Political Sciences, General Networking, Cybersecurity, Cyber Attacks, Computer Security Awareness Training, Cyber Risk, Risk Management, Cyber Governance, Telecommunications, Cyber Security Policies, Infrastructure Security, Governance, Cyber Security Strategy, Enterprise Security, Vulnerability, Threat Detection, Public Safety and National Security","Cybersecurity for Everyone:  Defining Cyber, Security, and Cybersecurity Policy (Week 1) | Cybersecurity for Everyone: Evolution of the Internet (Week 2) | Cybersecurity for Everyone: Global Telecommunications Architecture and Governance (Week 3) | Cybersecurity for Everyone: Threat Actors and Their Motivations (Week 4) | Cybersecurity for Everyone: The Hacking Process (Week 5) | Cybersecurity for Everyone: End Effects - Direct and Indirect Consequences (Week 6)","Charles Harry, University of Maryland, College Park"
Cyber Security Management and Leadership,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/mq-csa-cyber-security-management-and-leadership,5 modules,"Threat Detection, Cyber Security Strategy, Incident Response, Compliance Management, Cyber Governance, Leadership and Management, ISO/IEC 27001, Threat Management, Cyber Security Policies, Risk Management, Leadership, Cybersecurity, Resilience, Cyber Threat Intelligence, NIST 800-53, Cyber Attacks, Cyber Risk, Computer Security Incident Management, Cyber Security Assessment, Governance","Cybersecurity Strategy | Preparing Your Organisation | Cybersecurity Corporate Governance | Containment, Eradication and Recovery | Cybersecurity Attacks","Matt Bushby, Macquarie University"
IBM Cybersecurity Analyst,4.6 out of 5 stars,26K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,,"Intrusion Detection and Prevention, Endpoint Security, Computer Security Incident Management, Cyber Security Assessment, Networking Hardware, Penetration Testing, Cybersecurity, Cloud Computing, Network Security, Database Management, TCP/IP, Cyber Threat Hunting","Introduction to Cybersecurity Careers | Introduction to Cybersecurity Essentials | Introduction to Cybersecurity Tools & Cyberattacks | Operating Systems: Overview, Administration, and Security | Computer Networks and Network Security | Database Essentials and Vulnerabilities | Cybersecurity Architecture | Cybersecurity Compliance Framework, Standards & Regulations | Penetration Testing, Threat Hunting, and Cryptography | Incident Response and Digital Forensics | Cybersecurity Case Studies and Capstone Project | Cybersecurity Assessment: CompTIA Security+ & CYSA+ | Generative AI: Boost Your Cybersecurity Career | Cybersecurity Job Search, Resume, and Interview Prep","IBM Skills Network Team, Dee Dee Collette, Jeff Crume, Dr. Manish Kumar, Rav Ahuja"
Introduction to Cybersecurity Fundamentals,4.6 out of 5 stars,849 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-fundamentals,1 module,"Computer Security Awareness Training, Cybersecurity, Mitigation, Security Awareness, Cyber Attacks, Personally Identifiable Information, Data Security, Threat Management, Email Security, Malware Protection",Introduction to Cybersecurity Fundamentals,"Kevin  Cardwell, Coursera Instructor Network"
Introduction to Cybersecurity Essentials,4.8 out of 5 stars,938 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-essentials,4 modules,"Multi-Factor Authentication, Cyber Attacks, Information Systems Security, Cryptography, Hardening, Computer Security Awareness Training, Security Controls, Cybersecurity, Malware Protection, Security Awareness, Information Privacy, Application Security, Network Security, Data Security, Threat Management, Personally Identifiable Information, Encryption",Common Security Threats and Risks | Security Best Practicesâ¯ | Safe Browsing Practices | Final Module,IBM Skills Network Team
Microsoft Cybersecurity Analyst,4.7 out of 5 stars,2.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,,"Active Directory, Computer Security Incident Management, Penetration Testing, Vulnerability Scanning, Cybersecurity, Cloud Computing, Network Security, Business Software, Data Management, MITRE ATT&CK Framework, Security Testing, Threat Management",Introduction to Computers and Operating Systems and Security | Introduction to Networking and Cloud Computing | Cybersecurity Threat Vectors and Mitigation | Cybersecurity Identity and Access Solutions using Azure AD | Cybersecurity Solutions and Microsoft Defender | Cybersecurity Tools and Technologies | Cybersecurity Management and Compliance | Advanced Cybersecurity Concepts and Capstone Project | Microsoft SC-900 Exam Preparation and Practice,
Certified in Cybersecurity,4.7 out of 5 stars,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/certified-in-cybersecurity,,"Cyber Attacks, Infrastructure Security, Governance, Computer Security Incident Management, Authorization (Computing), Risk Management Framework, Cybersecurity, Network Security, Disaster Recovery, Data Security, Security Management, Role-Based Access Control (RBAC)","Security Principles | Incident Response, BC, and DR Concepts | Access Control Concepts | Network Security | Security Operations",ISC2 Education & Training
Introduction to Cybersecurity Tools & Cyberattacks,4.6 out of 5 stars,16K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,5 modules,"Incident Response, Security Controls, Security Awareness, Multi-Factor Authentication, Threat Detection, Threat Management, Identity and Access Management, Network Security, Authentications, Authorization (Computing), Cyber Attacks, Malware Protection, Computer Security Incident Management, Distributed Denial-Of-Service (DDoS) Attacks, Cybersecurity, Infrastructure Security",Cybersecurity Insights | Cybersecurity Threats | Cybersecurity Controls | Identity and Physical Controls | Final Project and Course Wrap-Up,"IBM Skills Network Team, Dee Dee Collette"
Cybersecurity Operations Fundamentals,4.8 out of 5 stars,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cbrops,,"Endpoint Security, Threat Detection, Computer Security Incident Management, Cybersecurity, Network Security, Vulnerability Assessments, Key Management, MITRE ATT&CK Framework, Data Security, Cyber Threat Hunting, Malware Protection, Threat Management",Security Operations Center (SOC) | Endpoints and Systems | Network Security | Data Security | Threat Analysis | Threat Investigation | Threat Response,"Cisco Learning & Certifications, Cisco Learning and Certifications"
Automate Cybersecurity Tasks with Python,4.8 out of 5 stars,3.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,4 modules,"Automation, Scripting, File Management, Algorithms, Computer Programming, Debugging, Python Programming, Data Structures, Cybersecurity, Cyber Security Assessment, Programming Principles, Integrated Development Environments",Introduction to Python | Write effective Python code | Work with strings and lists | Python in practice,
Google Cloud Cybersecurity,4.6 out of 5 stars,326 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate,,"Intrusion Detection and Prevention, Computer Security Incident Management, Risk Management Framework, Cybersecurity, Generative AI, Disaster Recovery, Data Security, Cyber Threat Hunting, Threat Management, DevSecOps, Google Cloud Platform, Identity and Access Management","Introduction to Security Principles in Cloud Computing | Strategies for Cloud Security Risk Management | Cloud Security Risks: Identify and Protect Against Threats | Detect, Respond, and Recover from Cloud Cybersecurity Attacks | Put It All Together: Prepare for a Cloud Security Analyst Job","Google Cloud Training, Google Cloud"
Python for Cybersecurity,4.5 out of 5 stars,510 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/pythonforcybersecurity,,"Threat Detection, System Monitoring, Persistence, Authorization (Computing), Cybersecurity, Network Monitoring, Command-Line Interface, Network Security, Scripting, MITRE ATT&CK Framework, Cyber Threat Hunting, Cyber Operations","Introduction to Python for Cybersecurity | Execution, persistence, privilege escalation and evasion | Credential Access, discovery, lateral movement & collection | Python for Command-and-control, Exfiltration and Impact | Python for Active Defense",Howard Poston
