課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Ethical Hacking Essentials (EHE),4.6 out of 5 stars,558 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ethical-hacking-essentials-ehe,12 modules,"Security Awareness, Vulnerability Assessments, Threat Detection, Internet Of Things, Penetration Testing, Cloud Security, Mobile Security, Network Security, Cybersecurity, Wireless Networks, Authentications, Encryption, Application Security",Information Security Fundamentals | Ethical Hacking Fundamentals | Information Security Threats and Vulnerability Assessment | Password Cracking Techniques and Countermeasures | Social Engineering Techniques and Countermeasures | Network Level Attacks and Countermeasures | Web Application Attacks and Countermeasures | Wireless Attacks and Countermeasures | Mobile Attacks and Countermeasures | IoT and OT Attacks and Countermeasures | Cloud Computing Threats and Countermeasures | Penetration Testing Fundamentals,
Certified Ethical Hacking (v12),4.7 out of 5 stars,213 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/certified-ethical-hacking-v12-cehv12-exam-prep-course,,"Intrusion Detection and Prevention, Cyber Attacks, Threat Detection, Cyber Security Assessment, Penetration Testing, Cloud Infrastructure, Cybersecurity, Cloud Computing, Network Security, Mobile Security, Malware Protection, Security Testing",Ethical Hacking Fundamentals | System and Network Security | Advanced Cybersecurity | CEH (v12) Practice Projects and Exam Simulators,
Foundations of Cybersecurity,4.9 out of 5 stars,35K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/foundations-of-cybersecurity,4 modules,"Security Controls, Cyber Attacks, Data Ethics, Cyber Security Strategy, Information Assurance, Cybersecurity, Cyber Risk, Ethical Standards And Conduct, Security Information and Event Management (SIEM), Network Analysis, Incident Response, Security Management","Welcome to the exciting world of cybersecurity | The evolution of cybersecurity | Protect against threats, risks, and vulnerabilities | Cybersecurity tools and programming languages",
IBM Ethical Hacking with Open Source Tools,4.7 out of 5 stars,18 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-ethical-hacking-with-open-source-tools,,"Network Troubleshooting, Threat Detection, Cyber Security Assessment, Network Analysis, Penetration Testing, Vulnerability Scanning, Cybersecurity, Network Monitoring, Bash (Scripting Language), Network Security, Vulnerability Assessments, Vulnerability",Introduction to Ethical Hacking Principles | Ethical Hacking with Kali Linux | Exploitation and Penetration Testing with Metasploit | Network Traffic Analysis with Wireshark | Incident Response and Defense with OpenVAS,"IBM Skills Network Team, Dee Dee Collette, Christo Oehley, Skill-Up EdTech Team, SkillUp EdTech"
The Complete Ethical Hacking Bootcamp: Beginner To Advanced,4.3 out of 5 stars,33 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-the-complete-ethical-hacking-bootcamp-beginner-to-advanced,,"Intrusion Detection and Prevention, Linux Commands, Cyber Security Assessment, Wireless Networks, Open Web Application Security Project (OWASP), Penetration Testing, Vulnerability Scanning, Cybersecurity, Command-Line Interface, Network Security, Vulnerability Assessments, Scripting",Ethical Hacking Foundations | Intermediate Ethical Hacking Techniques | Advanced Exploitation and Scripting Techniques,Packt - Course Instructors
Cybersecurity for Everyone,4.7 out of 5 stars,3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-everyone,6 modules,"Security Awareness, Data Security, Security Management, Political Sciences, General Networking, Cybersecurity, Cyber Attacks, Computer Security Awareness Training, Cyber Risk, Risk Management, Cyber Governance, Telecommunications, Cyber Security Policies, Infrastructure Security, Governance, Cyber Security Strategy, Enterprise Security, Vulnerability, Threat Detection, Public Safety and National Security","Cybersecurity for Everyone:  Defining Cyber, Security, and Cybersecurity Policy (Week 1) | Cybersecurity for Everyone: Evolution of the Internet (Week 2) | Cybersecurity for Everyone: Global Telecommunications Architecture and Governance (Week 3) | Cybersecurity for Everyone: Threat Actors and Their Motivations (Week 4) | Cybersecurity for Everyone: The Hacking Process (Week 5) | Cybersecurity for Everyone: End Effects - Direct and Indirect Consequences (Week 6)","Charles Harry, University of Maryland, College Park"
Ethical Hacking Fundamentals,4.7 out of 5 stars,153 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/certified-ethical-hacking-v12-ethical-hacking-fundamentals,3 modules,"Web Applications, Penetration Testing, Cyber Attacks, Security Testing, Application Security, Security Engineering, Vulnerability Assessments, Cybersecurity, Cyber Threat Intelligence, Web Servers, Information Systems Security, Network Security, Network Administration, Security Awareness, Cyber Security Assessment, Data Ethics",Course Introduction and Ethical Hacking Fundamentals | Footprinting and Reconnaissance | Social Engineering and Web Security,
Kali Linux,4.2 out of 5 stars,196 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/kali-linux,2 modules,"Cyber Security Assessment, Software Installation, Network Security, Virtual Private Networks (VPN), Linux, Network Monitoring, Cyber Attacks, Penetration Testing, Command-Line Interface, Linux Commands, Cybersecurity, Network Analysis, Vulnerability Assessments, Encryption",Exploring the Basics of Kali Linux | Practical Applications and Security Basics,Board Infinity
Introduction to Ethical Hacking,3.5 out of 5 stars,13 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-to-ethical-hacking,,"Wireless Networks, Open Web Application Security Project (OWASP), Penetration Testing, Vulnerability Scanning, Cybersecurity, Network Security, Vulnerability Assessments, Mobile Security, MITRE ATT&CK Framework, Web Applications, Malware Protection, Security Testing",Introduction to Penetration Testing and Ethical Hacking | Advanced Cybersecurity Techniques | Advanced Cybersecurity Topics,"Jason Crossland, Johns Hopkins University"
Ethical Hacking,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ethical-hacking,4 modules,"Vulnerability Assessments, Threat Detection, Computer Networking, Penetration Testing, Network Security, Network Protocols, Cyber Operations, Cybersecurity, Information Systems Security, Vulnerability Scanning",MÃ³dulo 1 | MÃ³dulo 2 | MÃ³dulo 3 | MÃ³dulo 4,"Alejandro Garcia Sainz Sours, SAE Institute MÃ©xico"
