課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Generative AI: Introduction and Applications,4.7 out of 5 stars,2.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-introduction-and-applications,3 modules,"Artificial Intelligence, Generative AI, OpenAI, Program Development, Prompt Engineering, Virtual Environment, Content Creation, ChatGPT, Large Language Modeling, Image Analysis","Introduction and Capabilities of Generative AI | Applications and Tools of Generative AIÂ | Course Quiz, Project, and Wrap-up",Rav Ahuja
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Large Language Modeling, IBM Cloud, Prompt Engineering, ChatGPT","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja"
Microsoft 365 with Generative AI,4.8 out of 5 stars,13 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-365-copilot-for-productivity,,"Microsoft PowerPoint, Microsoft 365, Presentations, Predictive Modeling, Microsoft Outlook, Microsoft Teams, Meeting Facilitation, Microsoft Word, Proposal Development, Prompt Engineering, Data Visualization Software, Microsoft Copilot",Fundamentals of Microsoft 365 Generative AI | Data Analysis and Visualization with Generative AI in Excel | Generative AI for PowerPoint and Word to Optimize Content Creation | Generative AI for Advanced Collaboration in Teams and Outlook,
Generative AI for Everyone,4.8 out of 5 stars,3.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-for-everyone,3 modules,"Cloud Applications, Business Process Automation, Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Prompt Engineering, Ethical Standards And Conduct, ChatGPT, Large Language Modeling, Artificial Intelligence, Automation, OpenAI",Introduction to Generative AI | Generative AI Projects | Generative AI in Business and Society,Andrew Ng
Prompt Engineering for ChatGPT,4.8 out of 5 stars,6.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,6 modules,"Brainstorming, Ingenuity, Generative AI, ChatGPT, Application Development, Large Language Modeling, Creative Thinking, Prompt Engineering, Artificial Intelligence, Problem Solving, Collaboration, Productivity",Course Introduction | Introduction to Prompts | Prompt Patterns I | Few-Shot Examples | Prompt Patterns II | Prompt Patterns III,"Dr. Jules White, Vanderbilt University"
Generative AI Fundamentals,4.7 out of 5 stars,7.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-for-everyone,,"ChatGPT, Tensorflow, Artificial Intelligence, Content Creation, Business Development, Generative AI, IBM Cloud, Deep Learning, Artificial Neural Networks, OpenAI, Prompt Engineering, Strategic Leadership","Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Foundation Models and Platforms | Generative AI: Impact, Considerations, and Ethical Issues | Generative AI: Business Transformation and Career Growth","Rav Ahuja, Antonio Cangiano"
Generative AI with Large Language Models,4.8 out of 5 stars,3.4K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-with-llms,3 modules,"Machine Learning, Performance Tuning, Generative AI, Reinforcement Learning, Applied Machine Learning, Scalability, Prompt Engineering, Python Programming, Performance Metric, Tensorflow, Application Deployment, OpenAI, Large Language Modeling, ChatGPT, Artificial Intelligence and Machine Learning (AI/ML), Natural Language Processing, PyTorch (Machine Learning Library), Deep Learning",Week 1 | Week 2 | Week 3,"Chris Fregly, Antje Barth, Shelbee Eigenbrode, Mike Chambers, Amazon Web Services"
IBM Generative AI Engineering,4.6 out of 5 stars,88K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,,"Data Manipulation, Regression Analysis, ChatGPT, Flask (Web Framework), Data Import/Export, Generative AI, Unsupervised Learning, Deep Learning, PyTorch (Machine Learning Library), Unit Testing, Data Wrangling, Prompt Engineering","Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Data Analysis with Python | Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain","IBM Skills Network Team, Sina Nazeri, Abhishek Gagneja, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Joseph Santarcangelo, Alex Aklson, Rav Ahuja, Antonio Cangiano, Roodra Pratap Kanwar, Ramesh Sannareddy, Jeff Grossman"
Generative AI Engineering with LLMs,4.5 out of 5 stars,473 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-engineering-with-llms,,"ChatGPT, Artificial Intelligence, Machine Learning Methods, Data Pipelines, Reinforcement Learning, Generative AI, Deep Learning, Applied Machine Learning, Generative AI Agents, Semantic Web, Artificial Neural Networks, OpenAI",Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain,"Sina Nazeri, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Joseph Santarcangelo, Roodra Pratap Kanwar"
Responsible Generative AI,4.7 out of 5 stars,135 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/responsible-generative-ai,,"Artificial Intelligence, Technology Strategies, Consumer Behaviour, Governance, Automation, Business Operations, Generative AI, Regulatory Compliance, Data Management, Operational Risk, Labor Relations, Cost Benefit Analysis","Generative AI: Fundamentals, Applications, and Challenges | Generative AI: Impact on Business and Society | Generative AI: Governance, Policy, and Emerging Regulation | Generative AI: Labor and the Future of Work","Merve Hickok, University of Michigan"
