課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Coding for Everyone: C and C++,4.5 out of 5 stars,9.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/coding-for-everyone,,"Game Design, Graph Theory, Artificial Intelligence, Software Design Patterns, Command-Line Interface, Integrated Development Environments, Computer Science, Computational Thinking, C (Programming Language), Debugging, C++ (Programming Language), Programming Principles","C for Everyone: Programming Fundamentals | C for Everyone: Structured Programming | C++ For C Programmers, Part A | C++ For C Programmers, Part B","Ira Pohl, University of California, Santa Cruz"
Medical Billing and Coding Fundamentals,4.8 out of 5 stars,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/medical-billing-coding-fundamentals,,"Cultural Sensitivity, Revenue Cycle Management, Professionalism, Copayment Collection and Processing, Cultural Responsiveness, Electronic Medical Record, Anatomy, Cultural Diversity, Payment Processing, Health Information Management and Medical Records, Medical Terminology, Medical Billing and Coding",Professionalism in Allied Health | Medical Terminology and the Human Body Fundamentals | Medical Billing and Coding Essentials,"Jennifer Zabel, Barbara Westrick"
Web Design for Everybody: Basics of Web Development & Coding,4.7 out of 5 stars,35K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/web-design,,"User Interface (UI), Browser Compatibility, Interactive Design, Verification And Validation, HTML and CSS, Javascript, Bootstrap (Front-End Framework), Usability, Web Content Accessibility Guidelines, Web Design, Cascading Style Sheets (CSS), Event-Driven Programming",Introduction to HTML5 | Introduction to CSS3 | Interactivity with JavaScript | Advanced Styling with Responsive Design | Web Design for Everybody Capstone,"Charles Russell Severance, Colleen van Lent, Ph.D., University of Michigan"
Code Yourself! An Introduction to Programming,4.7 out of 5 stars,3.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/intro-programming,5 modules,"Programming Principles, Software Engineering, Computer Programming, Computational Thinking, Debugging, Video Game Development, Game Design, Software Design, Animation and Game Design, Algorithms, Software Development",Your First Computer Program | Code Gone Loopy! | Remixing Games | Reusing Your Code | Think Like a Software Engineer,"Dr Areti Manataki, InÃ©s Friss de Kereki, The University of Edinburgh, Universidad ORT Uruguay"
Coding Interview Preparation,4.6 out of 5 stars,701 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/coding-interview-preparation,4 modules,"Technical Communication, Algorithms, Data Structures, Computational Logic, Pseudocode, Communication, Programming Principles, Computational Thinking, Program Development, Computer Science, Software Visualization",Introduction to the coding interview | Introduction to Data Structures | Introduction to Algorithms | Final project,Taught by Meta Staff
Computer Science: Programming with a Purpose,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-programming-java,10 modules,"Algorithms, Data Structures, Programming Principles, Animations, Java Programming, Debugging, Java, Performance Tuning, Computer Programming, Computer Science, Computational Thinking, Program Development, Object Oriented Programming (OOP)",BASIC PROGRAMMING CONCEPTS | CONDITIONALS AND LOOPS | ARRAYS | INPUT AND OUTPUT | FUNCTIONS AND LIBRARIES | RECURSION | PERFORMANCE | ABSTRACT DATA TYPES | CREATING DATA TYPES | PROGRAMMING LANGUAGES,"Robert Sedgewick, Kevin Wayne, Princeton University"
Learn to code with AI,4.6 out of 5 stars,109 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-to-code-with-ai,9 modules,"Artificial Intelligence, HTML and CSS, Mobile Development, Debugging, GitHub, Responsive Web Design, Cascading Style Sheets (CSS), Version Control, Web Development, Machine Learning, Database Application, ChatGPT, Application Development, Front-End Web Development, Application Deployment, Javascript, Computer Programming","ð¨ Build and deploy your first projects with ChatGPT: Part 1 | ð¨ Build and deploy your first projects with ChatGPT: Part 2 | ð¨ Build and deploy your first projects with ChatGPT: Test Your Knowledge | ð¦ Build games, mobile apps, and browser extensions: Part 1 | ð¦ Build games, mobile apps, and browser extensions: Part 2 | ð¦ Build games, mobile apps, and browser extensions: Test Your Knowledge | ð© Build database-powered projects | ð© Build database-powered projects: Test Your Knowledge | Bonus Module: Build Solo Projects","Per Harald Borgen, Guil Hernandez"
IBM Full Stack Software Developer,4.6 out of 5 stars,56K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"Application Deployment, Flask (Web Framework), Object-Relational Mapping, Software Architecture, Kubernetes, Node.JS, Data Import/Export, Cloud Computing Architecture, Cloud Computing, Software Development Life Cycle, Full-Stack Web Development, Cascading Style Sheets (CSS)","Introduction to Software Engineering | Introduction to Cloud Computing | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Django Application Development with SQL and Databases | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Full Stack Application Development Capstone Project | Full Stack Software Developer Assessment | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sachin Jambur, Abhishek Gagneja, Richa Arora, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Yan Luo, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan"
Medical Billing and Coding Essentials,4.7 out of 5 stars,530 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/medical-billing-coding-essentials,4 modules,"Medical Privacy, Payment Processing, Patient Registration, Medical Terminology, Healthcare Industry Knowledge, Health Information Management, Medical Billing and Coding, Data Security, ICD Coding (ICD-9/ICD-10), Revenue Cycle Management, Electronic Medical Record, Health Care Procedure and Regulation, Copayment Collection and Processing, Medicare",Module 1 | Module 2 | Module 3 | Module 4,Barbara Westrick
Microsoft Python Development,4.4 out of 5 stars,284 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Flask (Web Framework), Automation, Data Visualization, Version Control, Cloud Computing, Generative AI, Scripting, Agile Methodology, Debugging, Plotly, Data Ethics, Web Scraping",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,
