課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Introduction to DevOps,4.8 out of 5 stars,3.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/intro-to-devops,6 modules,"Accountability, CI/CD, Microservices, Cloud-Native Computing, DevOps, Agile Methodology, Test Driven Development (TDD), Performance Metric, Scrum (Software Development), Cross-Functional Collaboration, Team Oriented, Behavior-Driven Development, Culture Transformation",Overview of DevOps | Thinking DevOps | Working DevOps | Organizing for DevOps | Measuring DevOps | Case Studies and Final Exam,John Rofrano
IBM DevOps and Software Engineering,4.6 out of 5 stars,60K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/devops-and-software-engineering,,"Application Deployment, Flask (Web Framework), Linux Commands, Continuous Integration, Kubernetes, CI/CD, Open Web Application Security Project (OWASP), Data Import/Export, Cloud Computing Architecture, Software Development Life Cycle, Software Engineering, Jenkins","Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum | Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project","John Rofrano, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Ramesh Sannareddy, Sam Prokopchuk, Bethany Hudnutt, Ramanujam Srinivasan"
DevOps Mastery,4.6 out of 5 stars,171 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/devops-mastery,,"Ansible, Continuous Integration, Kubernetes, CI/CD, Linux Administration, Containerization, Version Control, Command-Line Interface, Terraform, Systems Administration, Jenkins, Microservices",DevOps Prerequisite Course | Git Basics for DevOps | Jenkins for Beginners | Docker Basics for DevOps | Kubernetes Basics for DevOps | Ansible for the Absolute Beginners | Terraform for the Absolute Beginner with Hands-on Labs | Python for the Absolute Beginner,"Lydia Halie, Vijin Palazhi, Michael Levan, Mumshad Mannambeth"
IBM Applied DevOps Engineering,4.7 out of 5 stars,7.3K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,,"Application Deployment, System Monitoring, OpenShift, Continuous Integration, Kubernetes, CI/CD, Open Web Application Security Project (OWASP), Secure Coding, Containerization, Jenkins, Agile Methodology, Cloud Applications","Introduction to DevOps | Introduction to Agile Development and Scrum | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project","John Rofrano, Upkar Lidder, Alex Parker, Ramanujam Srinivasan"
"DevOps, Cloud, and Agile Foundations",4.7 out of 5 stars,13K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,,"Cloud Hosting, Cloud-Native Computing, CI/CD, Kanban Principles, Cloud Computing Architecture, Cloud Infrastructure, Cloud Computing, User Story, Agile Methodology, Agile Project Management, Cloud Technologies, Sprint Retrospectives",Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum,"John Rofrano, Rav Ahuja"
Amazon DevOps Guru Getting Started,4.4 out of 5 stars,20 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/amazon-devops-guru-getting-started,1 module,"Devops Tools, Amazon Web Services, Amazon CloudWatch, DevOps, Application Deployment",Amazon DevOps Guru Getting Started,"AWS Instructor, Amazon Web Services"
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"Scripting, Data Processing, Automation, Programming Principles, Object Oriented Programming (OOP), Python Programming, Web Scraping, Data Structures, Data Manipulation, Data Analysis, Application Programming Interface (API), Jupyter, Pandas (Python Package), Restful API, JSON, Data Import/Export, NumPy, Computer Programming",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo
DevOps and AI on AWS,4.6 out of 5 stars,14 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/devops-ai-aws,,"Application Deployment, Continuous Integration, Amazon Elastic Compute Cloud, AWS CloudFormation, CI/CD, Containerization, Generative AI, Amazon CloudWatch, Cloud Applications, Unit Testing, Serverless Computing, Prompt Engineering",DevOps and AI on AWS: Upgrading Apps with Generative AI | DevOps and AI on AWS: CI/CD for Generative AI Applications | DevOps and AI on AWS: AIOps,"Russell Sayers, Morgan Willis, Rafael Lopes, Amazon Web Services"
DevOps Complete Course,4.2 out of 5 stars,14 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-devops-complete-course,,"Application Deployment, Ansible, Continuous Integration, Kubernetes, CI/CD, Containerization, Version Control, Software Development Tools, Artifactory, Software Development, Prometheus (Software), Devops Tools",Foundations of DevOps and Git | Advanced Git and GitHub Practices | Build Automation and Continuous Integration | Advanced DevOps Tools and Practices,Packt - Course Instructors
Continuous Integration and Continuous Delivery (CI/CD),4.7 out of 5 stars,221 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/continuous-integration-and-continuous-delivery-ci-cd,5 modules,"Automation, YAML, Git (Version Control System), DevOps, Jenkins, Kubernetes, Devops Tools, IT Automation, Infrastructure as Code (IaC), OpenShift, Continuous Integration, Continuous Delivery, Containerization, Application Deployment, CI/CD, GitHub",Introduction to CI/CD | Continuous Integration (CI) | Continuous Delivery (CD) | DevOps and GitOps with OpenShiftÂ | Final Exam and Final Project,"John Rofrano, Upkar Lidder"
Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7 out of 5 stars,54K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,,"Application Deployment, System Monitoring, Kubernetes, CI/CD, Culture Transformation, Containerization, Safety Culture, Cloud Infrastructure, Application Performance Management, Cloud Management, Prompt Engineering, Site Reliability Engineering",Google Cloud Fundamentals: Core Infrastructure | Developing a Google SRE Culture | Reliable Google Cloud Infrastructure: Design and Process | Logging and Monitoring in Google Cloud | Getting Started with Google Kubernetes Engine,"Google Cloud Training, Google Cloud"
Getting Started with Azure DevOps Boards,4.5 out of 5 stars,610 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/getting-started-azure-devops-boards,,"Issue Tracking, DevOps, Sprint Planning, Azure DevOps, Kanban Principles, Agile Software Development, Project Management, Backlogs",,"Mohammed Al Mousa, Coursera Project Network"
"DevOps, DataOps, MLOps",4.2 out of 5 stars,173 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/devops-dataops-mlops-duke,5 modules,"MLOps (Machine Learning Operations), Command-Line Interface, Data Ethics, Machine Learning, Generative AI Agents, Big Data, Application Frameworks, Docker (Software), Cloud Solutions, CI/CD, GitHub, Serverless Computing, Rust (Programming Language), Applied Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Python Programming, Containerization, DevOps","Introduction to MLOps | Essential Math and Data Science | Operations Pipelines:  DevOps, DataOps, MLOps | End to End MLOps and AIOps | Rust for MLOps: The Practical Transition from Python to Rust","Noah Gift, Alfredo Deza, Duke University"
Continuous Delivery & DevOps,4.6 out of 5 stars,1.6K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,4 modules,"Team Oriented, Quality Improvement, IT Infrastructure, System Testing, Continuous Deployment, Process Improvement, Information Technology Operations, Software Testing, Continuous Integration, Test Automation, CI/CD, Continuous Improvement Process, DevOps, Team Performance Management, Unit Testing, Continuous Delivery",The Importance of Velocity & The Jobs of Delivery | Your Testing Stack | Infrastructure and The Jobs of Ops | Delivering Continuously,"Alex Cowan, University of Virginia"
Monitoring and Observability for Development and DevOps,4.5 out of 5 stars,86 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/monitoring-and-observability-for-development-and-devops,5 modules,"Real Time Data, Microservices, Kubernetes, DevOps, Interactive Data Visualization, System Monitoring, Continuous Monitoring, Grafana, Prometheus (Software), Application Performance Management, Docker (Software)",â¯Introduction to Monitoring for Applications | Monitoring Systems and Techniques | Methodologies and Tools in Logging | Observability and Concepts | Final Project and Assessment,"John Rofrano, Ramanujam Srinivasan"
Python Scripting for DevOps,4 out of 5 stars,201 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-scripting-devops,,"CI/CD, Software Testing, Development Testing, Containerization, Scripting, Pandas (Python Package), Integration Testing, Unit Testing, Test Automation, Package and Software Management, NumPy, Programming Principles","Introduction to Python Scripting for DevOps | Python Scripting: Dates, Classes and Collections | Python Scripting: Files, Inheritance, and Databases | DevOps and Build Automation with Python",Aspen Olmsted
DevOps Prerequisite Course,4.7 out of 5 stars,73 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/devops-prerequisite-course,4 modules,"Network Troubleshooting, Network Administration, Application Servers, Node.JS, General Networking, Linux Commands, Command-Line Interface, Package and Software Management, DevOps, Application Development, Development Environment, Systems Administration, Software Installation, Linux Administration, Linux, Unix, TCP/IP, Devops Tools, Java",Introduction | Linux Basics | Networking | Application Basics,Mumshad Mannambeth
Microsoft Azure Developer Associate (AZ-204) Exam Prep,4.6 out of 5 stars,263 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/azure-developer-associate,,"Microsoft Azure, Application Deployment, CI/CD, C# (Programming Language), Data Storage, Cloud Computing, Data Security, Cloud Applications, Event-Driven Programming, Cloud Management, Serverless Computing, Development Environment",Create Serverless Applications | Connect Your Services with Microsoft Azure Service Bus | Data Storage in Microsoft Azure for Associate Developers | Deploy a website with Azure Virtual Machines | Manage Resources in Azure | Deploy a website to Azure with Azure App Service | Secure your Cloud Data | Prepare for AZ-204: Developing Solutions for Microsoft Azure,
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",4.4 out of 5 stars,971 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/ibm-containers-docker-kubernetes-openshift,5 modules,"Virtualization, YAML, DevOps, Application Deployment, Scalability, OpenShift, Microservices, Kubernetes, Docker (Software), Containerization, CI/CD, Istio, Command-Line Interface, Cloud-Native Computing","Containers and Containerization | Kubernetes Basics | Managing Applications with Kubernetes | The Kubernetes Ecosystem: OpenShift, Istio, etc. | Final Assignment","Alex Parker, Upkar Lidder"
Introduction to Software Engineering,4.7 out of 5 stars,3.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-software-engineering,6 modules,"Agile Methodology, Unified Modeling Language, Integrated Development Environments, Software Engineering, Software Documentation, Application Development, Systems Development, Python Programming, Software Development Tools, Engineering Software, Software Design, Software Development Life Cycle, Software Architecture, Software Design Patterns, Software Development Methodologies, Program Development, Programming Principles, Development Environment","The Software Development Lifecycle | Introduction to Software Development | Basics of Programming | Software Architecture, Design, and Patterns | Job Opportunities and Skillsets in Software Engineering | Final Quiz and Final Project","Rav Ahuja, Bethany Hudnutt"
Introduction to Cloud Computing,4.6 out of 5 stars,7.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-cloud,6 modules,"Hybrid Cloud Computing, Virtual Machines, Cloud Computing Architecture, Cloud-Native Computing, Cloud Computing, Cloud Solutions, Serverless Computing, DevOps, Cloud Management, Cloud Security, Cloud Engineering, Emerging Technologies, Cloud Development, Cloud Hosting, Cloud Infrastructure, Cloud Technologies, Cloud Storage, Cloud Services, Cloud Platforms, Infrastructure As A Service (IaaS)","Overview of Cloud Computing | Cloud Computing Models | Components of Cloud Computing | Emergent Trends and Practices | Cloud Security, Monitoring, Case Studies,  Jobs | Final Project and Assignment",Rav Ahuja
Introduction to Microsoft Azure Cloud Services,4.6 out of 5 stars,2.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-azure-cloud-services,4 modules,"Virtualization, Virtual Machines, Microsoft Azure, Cloud Infrastructure, Scalability, General Networking, Database Management Systems, Cloud Computing, Cloud Storage, Cloud Services, Cloud Platforms, Virtual Private Networks (VPN), Public Cloud","Introduction to Azure Fundamentals | Microsoft Azure Fundamental Concepts & Architectural Components | Microsoft Azure Database, Analytics, & Compute Services | Microsoft Azure Storage & Networking Services",
AWS Cloud Technology Consultant,4.8 out of 5 stars,6.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,,"Software Architecture, AWS CloudFormation, CI/CD, IT Automation, Cloud Computing Architecture, Cloud Computing, Software Development Life Cycle, Data Management, Amazon S3, Amazon CloudWatch, Teamwork, Cloud Management",Introduction to Information Technology and AWS Cloud | AWS Cloud Technical Essentials | Providing Technical Support for AWS Workloads | Developing Applications in Python on AWS | Skills for Working as an AWS Cloud Consultant | DevOps on AWS and Project Management | Automation in the AWS Cloud | Data Analytics and Databases on AWS | Capstone: Following the AWS Well Architected Framework,"Alex G., Russell Sayers, Morgan Willis, Seph Robinson, Rafael Lopes, Oksana Hoeckele, Amazon Web Services"
DevOps: Introduction to Developer Operations,3.6 out of 5 stars,57 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/codio-devops,,"Application Deployment, Ansible, System Monitoring, Continuous Integration, Automation, Kubernetes, CI/CD, Containerization, Network Monitoring, Terraform, Application Performance Management, Software Development Tools",Mastering Ansible Automation | CI/CD for Software Developers | Container Creation and Orchestration Basics | Introduction to Terraform | Performance Monitoring For Application Developers,"Mohit Chandarana, Evan Fingerman, Dmitrii Suchkov, Max Kraev, Patrick Ester, Chalece DeLaCoudray"
Microsoft Python Development,4.4 out of 5 stars,284 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Flask (Web Framework), Automation, Data Visualization, Version Control, Cloud Computing, Generative AI, Scripting, Agile Methodology, Debugging, Plotly, Data Ethics, Web Scraping",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,
"Master DevOps: CI/CD, Automation & Monitoring",N/A,N/A,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/master-devops-ci-cd-automation-monitoring,,"Ansible, Cloud-Native Computing, AWS CloudFormation, Kubernetes, CI/CD, Containerization, Version Control, Software Development Life Cycle, Terraform, Jenkins, Software Development Tools, Configuration Management",DevOps Essentials and Version Control with Git | Continuous Integration and Continuous Deployment | Infrastructure as Code and Monitoring | Containerization and Orchestration,
Exam Prep: AWS Certified DevOps Engineer - Professional,4.3 out of 5 stars,26 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/exam-prep-dop-c02-aws-certified-devops-engineer--professional,,"Application Deployment, API Gateway, Cloud-Native Computing, Amazon Elastic Compute Cloud, AWS CloudFormation, Kubernetes, CI/CD, Containerization, Cloud Infrastructure, Software Development Life Cycle, Disaster Recovery, Amazon CloudWatch","Getting Started with AWS DevOps | AWS: CI/CD Pipelines and Deployment Strategies | AWS: Configuration Management and Infrastructure as Code | AWS: Containerization | AWS: Monitoring, Logging and Governance | AWS: Resilient Solutions and Security Controls",Whizlabs Instructor
Kubernetes Basics for DevOps,4.5 out of 5 stars,15 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/kubernetes-basic-for-devops,7 modules,"DevOps, YAML, General Networking, Docker (Software), Application Deployment, Microservices, Command-Line Interface, Containerization, Cloud-Native Computing, Scalability, Kubernetes","Kubernetes Overview | Kubernetes Concepts | Kubernetes Concepts - PODs, ReplicaSets, Deployments | Networking in Kubernetes | Services | Microservices Architecture | Conclusion",Mumshad Mannambeth
IBM Full-Stack JavaScript Developer,4.6 out of 5 stars,7.5K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,,"Application Deployment, Javascript, Cloud-Native Computing, Software Architecture, Kubernetes, CI/CD, Node.JS, Software Development Life Cycle, Azure DevOps, Cascading Style Sheets (CSS), Server Side, Development Environment","Introduction to Software Engineering | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | JavaScript Programming Essentials | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Get Started with Cloud Native, DevOps, Agile, and NoSQL | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Node.js & MongoDB: Developing Back-end Database Applications | JavaScript Full Stack Capstone Project | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sachin Jambur, Muhammad Yahya, Richa Arora, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Bethany Hudnutt, Ramanujam Srinivasan"
Exam Prep AZ-400: Microsoft DevOps Engineer Expert,N/A,N/A,Advanced · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/exam-prep-az-400-microsoft-devops-engineer-expert,,"Microsoft Azure, Application Deployment, Continuous Integration, CI/CD, Authorization (Computing), Version Control, Azure DevOps, Agile Methodology, Authentications, Performance Tuning, Security Controls, DevSecOps",Design and Implement Processes and Communications | Design and Implement a Source Control Strategy | Design and Implement Build and Release Pipelines | Design Security and Monitor Strategies in Azure,Whizlabs Instructor
