課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
IBM Java Developer,4.7 out of 5 stars,5.7K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/java-developer,,"Database Design, Cloud-Native Computing, Software Architecture, Software Development Life Cycle, Microservices, GitHub, Database Management, Prompt Engineering, Java Programming, Development Environment, Git (Version Control System), Restful API","Introduction to Software Engineering | Java Programming for Beginners | Getting Started with Git and GitHub | Object Oriented Programming in Java | Introduction to HTML, CSS, & JavaScript | Cloud Native, Microservices, Containers, DevOps and Agile | Spring Framework for Java Development | Java Development with DatabasesÂ | Java Development Capstone Project | Software Developer Career Guide and Interview Preparation | Generative AI:Â Elevate your Software Development Career","IBM Skills Network Team, Michelle Saltoun, Muhammad Yahya, Skill-Up EdTech Team, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Bethany Hudnutt, Ramanujam Srinivasan, SkillUp EdTech"
Java Programming and Software Engineering Fundamentals,4.6 out of 5 stars,22K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-programming,,"HTML and CSS, Software Engineering, Programming Principles, Javascript, Software Design Patterns, Java Programming, Debugging, Encryption, Cryptography, Algorithms, Cascading Style Sheets (CSS), Web Development","Programming Foundations with JavaScript, HTML and CSS | Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Java Programming: Principles of Software Design | Java Programming: Build a Recommendation System","Andrew D. Hilton, Robert Duvall, Susan H. Rodger, Owen Astrachan, Duke University"
Core Java,4.6 out of 5 stars,2.7K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/core-java,,"Software Installation, Eclipse (Software), Programming Principles, File Management, Java Platform Enterprise Edition (J2EE), Object Oriented Design, Integrated Development Environments, Java Programming, Debugging, Development Environment, Program Development, Virtual Machines",Introduction to Java | Introduction to Object-Oriented Programming with Java | Object-Oriented Hierarchies in Java | Java Class Library,"Evan Bergman, Noel J. Bergman"
Object Oriented Programming in Java,4.6 out of 5 stars,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/object-oriented-programming,,"Software Engineering, Software Testing, Event-Driven Programming, Unit Testing, Java Programming, Debugging, Encryption, Interactive Data Visualization, Development Testing, Cryptography, Algorithms, Computer Programming","Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Object Oriented Programming in Java | Data Structures and Performance","Leo Porter, Andrew D. Hilton, Robert Duvall, Christine Alvarado, Mia Minnes, Susan H. Rodger, Owen Astrachan, University of California San Diego, Duke University"
Introduction to Java,4.6 out of 5 stars,2.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/java-introduction,3 modules,"Program Development, Programming Principles, Computer Programming, Java, Eclipse (Software), Development Environment, Object Oriented Programming (OOP), Java Programming, Integrated Development Environments, Software Installation",Welcome to Java | Java Language Fundamentals - Types | Java Language Fundamentals - Flow Control,Evan Bergman
Java FullStack Developer,4.4 out of 5 stars,678 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/java-fullstack,,"HTML and CSS, Eclipse (Software), Spring Boot, Javascript, Model View Controller, Object Oriented Design, Integrated Development Environments, Web Services, Java Programming, Web Applications, Front-End Web Development, Restful API",Fundamentals of Java Programming | Frontend for Java Full Stack Development | Data Structures & Backend with Java,Board Infinity
Java Programming: Solving Problems with Software,4.6 out of 5 stars,8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/java-programming,5 modules,"Software Testing, Java Programming, Object Oriented Programming (OOP), Data Processing, Computer Programming, Algorithms, Data Analysis, Java, Statistical Analysis, Problem Solving, Debugging, Software Design, Integrated Development Environments",Introduction to the Course | Fundamental Java Syntax and Semantics | Strings in Java | CSV Files and Basic Statistics in Java | MiniProject: Baby Names,"Owen Astrachan, Robert Duvall, Andrew D. Hilton, Susan H. Rodger, Duke University"
Object Oriented Java Programming: Data Structures and Beyond,4.7 out of 5 stars,7.2K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-object-oriented,,"Adaptability, Graph Theory, Software Testing, Network Analysis, Object Oriented Design, Event-Driven Programming, Unit Testing, Java Programming, Interactive Data Visualization, Development Testing, Technical Communication, Algorithms",Object Oriented Programming in Java | Data Structures and Performance | Advanced Data Structures in Java | Mastering the Software Engineering Interview | Capstone: Analyzing (Social) Network Data,"Leo Porter, Christine Alvarado, Mia Minnes, University of California San Diego"
Oracle Java Foundations,4.8 out of 5 stars,17 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/oracle-java-foundations,2 modules,"Object Oriented Programming (OOP), Development Environment, Computer Programming, Integrated Development Environments, Cloud Development, Oracle Cloud, Java",Java Programming Fundamentals | Object Oriented Programming in Java,Rohit Rahi
Fundamentals of Java Programming,4.4 out of 5 stars,521 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-java-programming,3 modules,"Computer Programming, Integrated Development Environments, Eclipse (Software), Development Environment, Programming Principles, Java, Java Programming, Object Oriented Programming (OOP), Algorithms, Virtual Machines, Object Oriented Design",Java Fundamentals | Core Java | OOPS and Other Essential Concepts,Board Infinity
