課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"Scripting, Data Processing, Automation, Programming Principles, Object Oriented Programming (OOP), Python Programming, Web Scraping, Data Structures, Data Manipulation, Data Analysis, Application Programming Interface (API), Jupyter, Pandas (Python Package), Restful API, JSON, Data Import/Export, NumPy, Computer Programming",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo
Crash Course on Python,4.8 out of 5 stars,39K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-crash-course,5 modules,"Integrated Development Environments, Python Programming, Algorithms, Problem Management, Computational Thinking, Development Environment, Debugging, Computer Programming, Programming Principles, Data Structures","Hello Python! | Basic Python Syntax | Loops | Strings, Lists and Dictionaries | Final Project",
Python for Everybody,4.8 out of 5 stars,278K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python,,"Database Design, Data Visualization, Data Collection, Web Services, Database Management, SQL, Data Processing, Network Protocols, Web Scraping, Programming Principles, Application Programming Interface (API), Data Modeling","Programming for Everybody (Getting Started with Python) | Python Data Structures | Using Python to Access Web Data | Using Databases with Python | Capstone: Retrieving, Processing, and Visualizing Data with Python","Charles Russell Severance, University of Michigan"
"Programación con Python, nivel básico",N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programacion-con-python-basico,6 modules,"Development Environment, Software Testing, Algorithms, Python Programming, Program Development, Debugging, Integrated Development Environments, Programming Principles, Computational Logic, Computational Thinking, Computer Programming",MÃ³dulo 1: IntroducciÃ³n | MÃ³dulo 2: Conceptos bÃ¡sicos | MÃ³dulo 3: Condicionales | MÃ³dulo 4: Ciclos | MÃ³dulo 5: Funciones | MÃ³dulo 6: Aplicaciones,Universidad Nacional de Colombia
Programming in Python,4.6 out of 5 stars,1.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-in-python,5 modules,"Django (Web Framework), Object Oriented Programming (OOP), Debugging, Test Driven Development (TDD), Integrated Development Environments, Software Testing, Python Programming, Unit Testing, Data Structures, Development Environment, Computer Programming, Programming Principles, Cloud Hosting","Getting started with Python | Basic Programming with Python | Programming paradigms | Modules, packages, libraries and tools | End-of-Course Graded Assessment",Taught by Meta Staff
Data Analysis with Python,4.7 out of 5 stars,19K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-python,6 modules,"Predictive Modeling, Matplotlib, Data Cleansing, Exploratory Data Analysis, NumPy, Regression Analysis, Data Manipulation, Data Wrangling, Data Analysis, Data Pipelines, Data Transformation, Data Visualization, Feature Engineering, Data-Driven Decision-Making, Python Programming, Scikit Learn (Machine Learning Library), Data Import/Export, Pandas (Python Package), Statistical Analysis",Importing Data Sets | Data Wrangling | Exploratory Data Analysis | Model Development | Model Evaluation and Refinement | Final Assignment,Joseph Santarcangelo
Programming for Everybody (Getting Started with Python),4.8 out of 5 stars,232K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python,7 modules,"Computational Thinking, Programming Principles, Python Programming, Scripting Languages, Development Environment, Scripting, Computer Programming",Chapter One - Why we Program? | Installing Python | Chapter One: Why We Program (continued) | Chapter Two: Variables and Expressions | Chapter Three: Conditional Code | Chapter Four: Functions | Chapter Five: Loops and Iteration,"Charles Russell Severance, University of Michigan"
Python Programming Essentials Training,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-programming-essentials-training,3 modules,"Software Installation, Integrated Development Environments, Computational Thinking, Data Structures, Computer Programming, Software Design, Object Oriented Programming (OOP), Programming Principles, Application Development, Development Environment, Python Programming","Introduction to Programming and Python Setup | Python Core Concepts | Functions, Functional Programming, and Threading",Priyanka Mehta
Get Started with Python,4.8 out of 5 stars,1.6K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/get-started-with-python,5 modules,"Algorithms, Data Structures, Jupyter, Pandas (Python Package), Object Oriented Programming (OOP), Scripting, Programming Principles, Data Visualization, Data Manipulation, NumPy, Python Programming, Data Analysis","Hello, Python! | Functions and conditional statements | Loops and strings | Data structures in Python | Course 2 end-of-course project",
Microsoft Python Development,4.4 out of 5 stars,284 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Flask (Web Framework), Automation, Data Visualization, Version Control, Cloud Computing, Generative AI, Scripting, Agile Methodology, Debugging, Plotly, Data Ethics, Web Scraping",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,
Python Basics,4.8 out of 5 stars,18K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-basics,4 modules,"Programming Principles, Python Programming, Development Environment, Computer Programming, Debugging, Data Structures, Computer Graphics, Scripting Languages",Introduction and The Basics of Programming in Python | Sequences and Iteration | Booleans and Conditionals | Sequence Mutation  and Accumulation Patterns,"Paul Resnick, Steve Oney, University of Michigan"
Introduction to Python for Scientific Computing,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-python-scientific-computing,4 modules,"Computer Programming, Integrated Development Environments, Data Science, Computational Thinking, Visualization (Computer Graphics), Matplotlib, Scripting, Statistical Modeling, Applied Mathematics","Introduction to Python Programming | Control Flow and Functions in Python | Arrays, Math, and Visualization | Numeric and Symbolic Computation","Carolyn Kohlmeier, Charlie Nuttelman, University of Colorado Boulder"
Data Mining in Python,N/A,N/A,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-mining-in-python,4 modules,"Data Science, Applied Machine Learning, Unsupervised Learning, Python Programming, Data Mining",Basic Concepts of Data Mining | Mining Itemset Data | Mining Vector and Matrix Data | Mining Sequences,"Qiaozhu Mei, University of Michigan"
Python 3 Programming,4.8 out of 5 stars,23K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-3-programming,,"Data Manipulation, Data Import/Export, Jupyter, Object Oriented Design, Software Design, Unit Testing, Debugging, Image Analysis, Data Processing, Web Scraping, Programming Principles, Unified Modeling Language","Python Basics | Python Functions, Files, and Dictionaries | Data Collection and Processing with Python | Python Classes and Inheritance | Python Project: Software Engineering and Image Manipulation","Steve Oney, Paul Resnick, Christopher Brooks, University of Michigan"
Create Your First Python Program From UST,4.6 out of 5 stars,2.9K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/first-python-program-ust,,"Python Programming, Programming Principles, Scripting Languages, Computer Programming, Development Environment, Command-Line Interface, Scripting",,"Amit Yadav, Coursera Project Network"
Google IT Automation with Python,4.7 out of 5 stars,49K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-automation,,"Automation, CI/CD, Version Control, Web Services, Cloud Computing, Bash (Scripting Language), Applicant Tracking Systems, Unit Testing, Debugging, Configuration Management, GitHub, Programming Principles",Crash Course on Python | Using Python to Interact with the Operating System | Introduction to Git and GitHub | Troubleshooting and Debugging Techniques | Configuration Management and the Cloud | Automating Real-World Tasks with Python | Accelerate Your Job Search with AI,
Introduction to Python,4.5 out of 5 stars,2.2K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-python,,"Computational Thinking, Programming Principles, Artificial Intelligence, Computer Programming, Web Development, Application Development, Scientific Visualization, Python Programming, Data Science",,"David Dalsveen, Coursera Project Network"
Introducción a la programación en Python I: Aprendiendo a programar con Python,4.4 out of 5 stars,4.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/aprendiendo-programar-python,6 modules,"Application Development, Algorithms, Program Development, Data Structures, File Management, Computer Programming, Python Programming",IntroducciÃ³n: La programaciÃ³n y los sistemas computacionales | Instrucciones bÃ¡sicas del lenguaje Python | Control de flujo | Funciones | Strings y Archivos | Listas,"Jorge MuÃ±oz Gama, Mar PÃ©rez-SanagustÃ­n, Cristian Ruz, Valeria Herskovic, Pontificia Universidad CatÃ³lica de Chile"
Machine Learning with Python,4.7 out of 5 stars,17K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-with-python,6 modules,"Classification And Regression Tree (CART), Dimensionality Reduction, Statistical Analysis, Feature Engineering, Machine Learning Algorithms, Unsupervised Learning, Python Programming, Scikit Learn (Machine Learning Library), Applied Machine Learning, Machine Learning, Regression Analysis, Predictive Modeling, Supervised Learning",Introduction to Machine Learning | Linear and Logistic Regression | Building Supervised Learning Models | Building Unsupervised Learning Models | Evaluating and Validating Machine Learning Models | Final Project and Exam,"Joseph Santarcangelo, Jeff Grossman"
Python Data Structures,4.9 out of 5 stars,97K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-data,7 modules,"Python Programming, Data Import/Export, Programming Principles, Data Manipulation, Data Structures, File Management, Development Environment",Chapter Six: Strings | Unit: Installing and Using Python | Chapter Seven: Files | Chapter Eight: Lists | Chapter Nine: Dictionaries | Chapter Ten: Tuples | Graduation,"Charles Russell Severance, University of Michigan"
Python for Cybersecurity,4.5 out of 5 stars,510 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/pythonforcybersecurity,,"Threat Detection, System Monitoring, Persistence, Authorization (Computing), Cybersecurity, Network Monitoring, Command-Line Interface, Network Security, Scripting, MITRE ATT&CK Framework, Cyber Threat Hunting, Cyber Operations","Introduction to Python for Cybersecurity | Execution, persistence, privilege escalation and evasion | Credential Access, discovery, lateral movement & collection | Python for Command-and-control, Exfiltration and Impact | Python for Active Defense",Howard Poston
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"Data Analysis, Databases, SQL, Data Manipulation, Transaction Processing, Query Languages, Stored Procedure, Python Programming, Jupyter, Relational Databases, Pandas (Python Package)",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan"
